doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
05sb0001,SB 0001 of 2005,NA,NA,2005-2006,SB,Mental health,other,Mental health; other; mental health ombudsman; establish. Creates new act.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SB-0001,FALSE
05sb0002,SB 0002 of 2005,05pa0066,PA 0066 of 2005,2005-2006,SB,Agriculture,animals,"Agriculture; animals; procedure used for composting of dead animals; revise. Amends secs. 3, 4, 15, 19 & 21 of 1982 PA 239 (MCL 287.653 et seq.).Last Action: ASSIGNED PA 0066'05 WITH IMMEDIATE EFFECT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SB-0002,FALSE
05sb0003,SB 0003 of 2005,NA,NA,2005-2006,SB,Campaign finance,campaign practices,Campaign finance; campaign practices; telephonic communications; require disclosure stating who is paying for call and whether authorized by candidate. Amends 1976 PA 388 (MCL 169.201 - 169.282) by adding sec. 48.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SB-0003,FALSE
05sb0004,SB 0004 of 2005,NA,NA,2005-2006,SB,Education,attendance,Education; attendance; compulsory age for attendance; increase age to 18 and provide for certain alternative education options. Amends secs. 1561 & 1596 of 1976 PA 451 (MCL 380.1561 & 380.1596) & adds sec. 1591.Last Action: REFERRED TO COMMITTEE ON EDUCATION,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SB-0004,FALSE
05sb0005,SB 0005 of 2005,NA,NA,2005-2006,SB,Elections,voters,Elections; voters; election by mail; implement. Amends sec. 726 of 1954 PA 116 (MCL 168.726) & adds secs. 750a & 750b.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SB-0005,FALSE
05sb0006,SB 0006 of 2005,NA,NA,2005-2006,SB,Elections,registration,"Elections; registration; registering to vote on day of election and voting at that election; allow. Amends secs. 491, 497 & 497a of 1954 PA 116 (MCL 168.491 et seq.) & adds sec. 499e.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SB-0006,FALSE
05sb0007,SB 0007 of 2005,NA,NA,2005-2006,SB,Natural resources,other,"Natural resources; other; water withdrawals; require permits for certain facilities. Amends secs. 32701, 32702, 32705, 32706, 32707, 32708, 32709, 32710, 32711, 32712 & 32713 of 1994 PA 451 (MCL 324.32701 et seq.) & adds secs. 32702a, 32712a, 32712b, 32712c, 32712d, 32712e, 32712f, 32712g, 32713a, 32715, 32716 & 32717.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SB-0007,FALSE
05sb0008,SB 0008 of 2005,NA,NA,2005-2006,SB,Gaming,lottery,Gaming; lottery; formula for distribution of lottery revenue; revise. Amends secs. 12 & 41 of 1972 PA 239 (MCL 432.12 & 432.41).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SB-0008,FALSE
05sb0009,SB 0009 of 2005,NA,NA,2005-2006,SB,Health,research,"Health; research; research on a live or aborted embryo, fetus, or neonate; prohibit without consent under certain circumstances. Amends secs. 2685 & 2688 of 1978 PA 368 (MCL 333.2685 & 333.2688).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SB-0009,FALSE
05sb0010,SB 0010 of 2005,NA,NA,2005-2006,SB,Insurance,health,Insurance; health; credentialing process for health care providers; standardize. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 2212c.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SB-0010,FALSE
