doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
05hjr000A,HJR A of 2005,NA,NA,2005-2006,HJR,Legislature,legislators,"Legislature; legislators; term limits for state representatives; revise to four 2-year terms. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 01/28/2005",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-A,FALSE
05sjr000A,SJR A of 2005,NA,NA,2005-2006,SJR,Insurance,other,"Insurance; other; insurance commissioner; require to be an elected position. Amends secs. 21 & 23, art. V of the state constitution.Last Action: REFERRED TO COMMITTEE ON BANKING AND FINANCIAL INSTITUTIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SJR-A,FALSE
05sjr000B,SJR B of 2005,NA,NA,2005-2006,SJR,Education,other,"Education; other; constitutional amendment to provide for gubernatorial appointment of superintendent of public instruction; provide for and require advice and consent of the senate. Amends sec. 3, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON EDUCATION",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SJR-B,FALSE
05hjr000B,HJR B of 2005,NA,NA,2005-2006,HJR,Property tax,assessments,"Property tax; assessments; agricultural property assessment based on agricultural use value; amend constitution to provide for. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 01/28/2005",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-B,FALSE
05hjr000C,HJR C of 2005,NA,NA,2005-2006,HJR,Education,other,"Education; other; constitutional amendment to provide for gubernatorial appointment of superintendent of public instruction; provide for. Amends sec. 3, art. VIII of the state constitution.Last Action: postponed for the day",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-C,FALSE
05sjr000C,SJR C of 2005,NA,NA,2005-2006,SJR,State,bonds,State; bonds; constitutional amendment for the issuance of certain general obligation bonds and to allow for certain investments; provide for. Amends the state constitution by adding sec. 15a to art. IX.Last Action: reassign to Committee on Commerce,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SJR-C,FALSE
05sjr000D,SJR D of 2005,NA,NA,2005-2006,SJR,State,budget,"State; budget; taxpayers bill of rights to limit government growth; adopt. Amends sec. 28, art. IX of state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SJR-D,FALSE
05hjr000D,HJR D of 2005,NA,NA,2005-2006,HJR,Legislature,legislators,"Legislature; legislators; part-time legislature; provide for and revise salary level. Amends secs. 12 & 13, art. IV of the state constitution.Last Action: printed joint resolution filed 02/04/2005",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-D,FALSE
05hjr000E,HJR E of 2005,NA,NA,2005-2006,HJR,Taxation,other,"Taxation; other; constitutional limit on state spending; establish. Amends sec. 28, art. IX of the state constitution.Last Action: printed joint resolution filed 02/16/2005",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-E,FALSE
05sjr000E,SJR E of 2005,NA,NA,2005-2006,SJR,Land use,condemnation,"Land use; condemnation; taking of private property by eminent domain for certain purposes; prohibit. Amends sec. 2, art. X of the state constitution.Last Action: FILED WITH SECRETARY OF STATE 12/15/2005 @ 1:55 PM",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SJR-E,FALSE
05sjr000F,SJR F of 2005,NA,NA,2005-2006,SJR,Legislature,legislators,"Legislature; legislators; term limits for state representatives; revise to four 2-year terms. Amends sec. 54, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SJR-F,FALSE
05hjr000F,HJR F of 2005,NA,NA,2005-2006,HJR,State,employees and officers,"State; employees and officers; hiring for civil service position; provide preferential treatment to veterans. Amends sec. 5, art. XI of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-F,FALSE
05hjr000G,HJR G of 2005,NA,NA,2005-2006,HJR,Legislature,sessions,"Legislature; sessions; unicameral legislature; provide for. Amends sec. 9, art. II, sec. 8, art. III, secs. 1, 7, 8, 11, 12, 14, 16, 17, 18, 19, 20, 22, 24, 26, 27, 29, 30, 31, 33, 37, 43, 53 & 54, art. IV, secs. 2, 3, 6, 7, 13, 18, 20, 25, 26, 28 & 29, art. V, secs. 1 & 25, art. VI, sec. 6, art. VIII, secs. 15 & 27, art. IX, sec. 5, art. X, secs. 5 & 7, art. XI & secs. 1 & 3, art. XII; adds sec. 1a, art. IV & a schedule & temporary provisions & repeals secs. 2, 3, 4, 6 & 21, art. IV of the state constitution.Last Action: printed joint resolution filed 02/18/2005",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-G,FALSE
05sjr000G,SJR G of 2005,NA,NA,2005-2006,SJR,Constitutional amendments,state,"Constitutional amendments; state; court to deny release on bail for felony involving sexual assault of minor; amend state constitution to allow. Amends sec. 15, art. I of the state constitution.Last Action: REASSIGNED TO COMMITTEE ON JUDICIARY",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SJR-G,FALSE
05sjr000H,SJR H of 2005,NA,NA,2005-2006,SJR,Legislature,sessions,"Legislature; sessions; unicameral legislature; provide for. Amends sec. 9, art. II, sec. 8, art. III, secs. 1, 7, 8, 11, 12, 14, 16, 17, 18, 19, 20, 22, 24, 26, 27, 29, 30, 31, 33, 37, 43, 53 & 54, art. IV, secs. 2, 3, 6, 7, 13, 18, 20, 25, 26, 28 & 29, art. V, secs. 1 & 25, art. VI, sec. 6, art. VIII, secs. 15 & 27, art. IX, sec. 5, art. X, secs. 5 & 7, art. XI & secs. 1 & 3, art. XII of the state constitution; adds sec. 1a to art. IV & a schedule & temporary provisions & repeals secs. 2, 3, 4, 6 & 21, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-SJR-H,FALSE
05hjr000H,HJR H of 2005,NA,NA,2005-2006,HJR,Legislature,legislators,"Legislature; legislators; term limits; repeal. Repeals sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 04/27/2005",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-H,FALSE
05hjr000I,HJR I of 2005,NA,NA,2005-2006,HJR,State,bonds,State; bonds; constitutional amendment for the issuance of certain general obligation bonds and to allow for certain investments; provide for. Amends the state constitution by adding sec. 15a to art. IX.Last Action: notice given to discharge committee,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-I,FALSE
05hjr000J,HJR J of 2005,NA,NA,2005-2006,HJR,Natural resources,hunting,Natural resources; hunting; hunting and fishing as a constitutional right; establish. Amends the state constitution by adding sec. 25 to art. I.Last Action: printed bill filed 05/12/2005,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-J,FALSE
05hjr000K,HJR K of 2005,NA,NA,2005-2006,HJR,Public employees and officers,constitutional amendment creating the independent redistricting commission,"Public employees and officers; constitutional amendment creating the independent redistricting commission; provide for. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: printed joint resolution filed 05/25/2005",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-K,FALSE
05hjr000L,HJR L of 2005,NA,NA,2005-2006,HJR,Education,financing,"Education; financing; constitutional amendment to require certain percentage of educational operation budget to be used on classroom instruction and to expand audit authority of auditor general; provide for. Amends sec. 53, art. IV & adds sec. 10 to art. VIII of the state constitution.Last Action: recommendation concurred in",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-L,FALSE
05hjr000M,HJR M of 2005,NA,NA,2005-2006,HJR,Legislature,auditor general,"Legislature; auditor general; auditor general to audit public intermediate and local school districts; allow. Amends sec. 53, art. IV of the state constitution.Last Action: referred to second reading",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-M,FALSE
05hjr000N,HJR N of 2005,NA,NA,2005-2006,HJR,Land use,condemnation,"Land use; condemnation; taking of private property by eminent domain for the primary benefit of private entities; prohibit. Amends sec. 54, art. X of the state constitution.Last Action: printed joint resolution filed 09/07/2005",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-N,FALSE
05hjr000O,HJR O of 2005,NA,NA,2005-2006,HJR,Taxation,other,Taxation; other; recycling fee; create. Amends the state constitution by adding sec. 40 to art. IX.Last Action: printed joint resolution filed 09/09/2005,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-O,FALSE
05hjr000P,HJR P of 2005,NA,NA,2005-2006,HJR,Land use,condemnation,"Land use; condemnation; taking of private property by eminent domain for the primary benefit of private entities; prohibit. Amends sec. 2, art X of the state constitution.Last Action: printed joint resolution filed 09/14/2005",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-P,FALSE
05hjr000Q,HJR Q of 2005,NA,NA,2005-2006,HJR,Land use,other,Land use; other; land use regulations; require compensation if adversely affect property value. Amends the state constitution by adding sec. 7 to art. X.Last Action: printed joint resolution filed 10/19/2005,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2005-HJR-Q,FALSE
06sjr000I,SJR I of 2006,NA,NA,2005-2006,SJR,Legislature,apportionment,"Legislature; apportionment; process for redistricting plan; clarify. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-SJR-I,FALSE
06sjr000J,SJR J of 2006,NA,NA,2005-2006,SJR,Legislature,legislators,"Legislature; legislators; legislator called for active military duty; establish replacement policy. Amends sec. 8, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-SJR-J,FALSE
06sjr000K,SJR K of 2006,NA,NA,2005-2006,SJR,Legislature,apportionment,Legislature; apportionment; census used for allocation of congressional districts; clarify. Amends US Const by adding art. XXVIII.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-SJR-K,FALSE
06sjr000L,SJR L of 2006,NA,NA,2005-2006,SJR,Sales tax,other,"Sales tax; other; counties; allow to levy a supplemental sales tax for transportation purposes. Amends sec. 8, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON FINANCE",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-SJR-L,FALSE
06hjr000R,HJR R of 2006,NA,NA,2005-2006,HJR,Taxation,other,"Taxation; other; revenue limitation formula; revise. Amends sec. 26, art IX of the state constitution.Last Action: printed joint resolution filed 01/12/2006",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-HJR-R,FALSE
06hjr000S,HJR S of 2006,NA,NA,2005-2006,HJR,Legislature,legislators,"Legislature; legislators; number of representatives and senators; reduce and increase term limits. Amends secs. 2, 3 & 54, art IV of the state constitution.Last Action: printed joint resolution filed 02/10/2006",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-HJR-S,FALSE
06hjr000T,HJR T of 2006,NA,NA,2005-2006,HJR,Constitutional amendments,state,"Constitutional amendments; state; differences in amounts of per pupil funding for K-12 schools; require reduction in. Amends sec. 11, art. IX of the state constitution.Last Action: printed joint resolution filed 02/15/2006",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-HJR-T,FALSE
06hjr000U,HJR U of 2006,NA,NA,2005-2006,HJR,Higher education,governing boards,"Higher education; governing boards; appointment of regents, trustees, or board of governors for university of Michigan, Michigan state university, and Wayne state university; require. Amends sec. 5, art. VIII of the state constitution.Last Action: printed joint resolution filed 03/29/2006",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-HJR-U,FALSE
06hjr000V,HJR V of 2006,NA,NA,2005-2006,HJR,Legislature,legislators,"Legislature; legislators; ability to reduce pay for legislators who miss session without a valid excuse; provide for. Amends sec. 12, art IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-HJR-V,FALSE
06hjr000W,HJR W of 2006,NA,NA,2005-2006,HJR,Water,other,Water; other; constitutional amendment to prohibit the diversion of water from the Great Lakes; provide for. Amends the state constitution by adding sec. 55 to art IV.Last Action: printed joint resolution filed 04/26/2006,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-HJR-W,FALSE
06hjr000X,HJR X of 2006,NA,NA,2005-2006,HJR,Legislature,apportionment,"Legislature; apportionment; legislative apportionment based on the number of citizens of this state; provide for. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: printed joint resolution filed 05/24/2006",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-HJR-X,FALSE
06hjr000Y,HJR Y of 2006,NA,NA,2005-2006,HJR,Criminal procedure,sentencing,"Criminal procedure; sentencing; capital punishment for first degree murder; provide for. Amends sec. 46, art. IV of the state constitution.Last Action: printed joint resolution filed 06/08/2006",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-HJR-Y,FALSE
06hjr000Z,HJR Z of 2006,NA,NA,2005-2006,HJR,Constitutional amendments,state,"Constitutional amendments; state; approval process for ballot proposals amending the constitution; revise. Amends sec. 2, art. XII of the state constitution.Last Action: printed joint resolution filed 07/26/2006",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-HJR-Z,FALSE
06hjr00AA,HJR AA of 2006,NA,NA,2005-2006,HJR,Constitutional amendments,federal,Constitutional amendments; federal; apportionment based on the number of persons in each state who are citizens of the United States; petition congress to call a convention to amend the constitution of the United States. Proposes amendment to US Constitution.Last Action: printed joint resolution filed 08/17/2006,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-HJR-AA,FALSE
06hjr00BB,HJR BB of 2006,NA,NA,2005-2006,HJR,Elections,other,"Elections; other; process for amending the state constitution; revise. Amends sec. 2, art XII of the state constitution.Last Action: printed joint resolution filed 09/15/2006",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-HJR-BB,FALSE
06hjr00CC,HJR CC of 2006,NA,NA,2005-2006,HJR,Property tax,assessments,"Property tax; assessments; increase in taxable value after transfer of ownership; limit to 10%. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 09/21/2006",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-HJR-CC,FALSE
06hjr00DD,HJR DD of 2006,NA,NA,2005-2006,HJR,Criminal procedure,bail,"Criminal procedure; bail; no-bond violations; expand to include attempted murder. Amends sec. 15, art. I of the state constitution.Last Action: printed joint resolution filed 09/21/2006",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2006-HJR-DD,FALSE
