doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
09hcr0001,HCR 0001 of 2009,NA,NA,2009-2010,HCR,NA,NA,A concurrent resolution prescribing the Joint Convention Rules for the Legislature.Last Action: adopted by Senate - referred to the Clerk for record,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HCR-0001,FALSE
09scr0001,SCR 0001 of 2009,NA,NA,2009-2010,SCR,NA,NA,A concurrent resolution granting authority for adjournment for more than 2 days.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SCR-0001,FALSE
09scr0002,SCR 0002 of 2009,NA,NA,2009-2010,SCR,NA,NA,"A concurrent resolution to express the sense of the Michigan Legislature that all future State of the State addresses be interpreted for the deaf and hard of hearing by qualified interpreters.

Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SCR-0002,FALSE
09hcr0002,HCR 0002 of 2009,NA,NA,2009-2010,HCR,NA,NA,A concurrent resolution providing for a joint convention of the House of Representatives and the Senate.Last Action: adopted by Senate - referred to the Clerk for record,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HCR-0002,FALSE
09hcr0003,HCR 0003 of 2009,NA,NA,2009-2010,HCR,NA,NA,"A concurrent resolution to request the State Officers' Compensation Commission to recommend a 10 percent reduction in salaries of the members of the Legislature, the Governor, the Lieutenant Governor, the Attorney General, and the Secretary of State the next time the commission meets and to urge the commission to ensure that none of its future recommendations exceed the average increase in state employee pay.
Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HCR-0003,FALSE
09scr0003,SCR 0003 of 2009,NA,NA,2009-2010,SCR,NA,NA,A concurrent resolution for the adoption of the Joint Rules of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SCR-0003,FALSE
09scr0004,SCR 0004 of 2009,NA,NA,2009-2010,SCR,NA,NA,"A concurrent resolution to affirm Michigan's sovereignty under the Tenth Amendment to the Constitution of the United States over all powers not enumerated and granted to the federal government.

Last Action: referred to Committee on Judiciary",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SCR-0004,FALSE
09hcr0004,HCR 0004 of 2009,NA,NA,2009-2010,HCR,NA,NA,"A concurrent resolution to affirm Michigan's sovereignty under the Tenth Amendment to the Constitution of the United States and to urge the federal government to halt its practice of imposing mandates upon the states for purposes not enumerated by the Constitution of the United States.

Last Action: referred to Committee on Government Operations",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HCR-0004,FALSE
09hcr0005,HCR 0005 of 2009,NA,NA,2009-2010,HCR,NA,NA,"A concurrent resolution to request the State Officers Compensation Commission to recommend a 10 percent legislative salary reduction and to endorse and follow certain performance-based pay structures.

Last Action: notice given to discharge committee",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HCR-0005,FALSE
09scr0005,SCR 0005 of 2009,NA,NA,2009-2010,SCR,NA,NA,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and Muskegon Community College relative to the Muskegon Community College Student Services One-Stop Center.

Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SCR-0005,FALSE
09scr0006,SCR 0006 of 2009,NA,NA,2009-2010,SCR,NA,NA,"A concurrent resolution to urge the government of Turkey to cease all discrimination against the Ecumenical Patriarchate.

Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SCR-0006,FALSE
09hcr0006,HCR 0006 of 2009,NA,NA,2009-2010,HCR,NA,NA,"A concurrent resolution to memorialize the President, the Congress, and the Department of Homeland Security of the United States to change requirements, agreements, and memorandums of understanding relating to the creation of Enhanced Drivers Licenses.

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HCR-0006,FALSE
09hcr0007,HCR 0007 of 2009,NA,NA,2009-2010,HCR,NA,NA,"A concurrent resolution to express the wish of the people of Michigan to erect a statue of Walter P. Reuther in place of the Zachariah Chandler statue in the National Statuary Hall Collection and to urge the Governor to establish a commission to carry out this replacement.

Last Action: referred to Committee on Government Operations",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HCR-0007,FALSE
09scr0007,SCR 0007 of 2009,NA,NA,2009-2010,SCR,NA,NA,"A concurrent resolution to honor the memory of Harmon G. Cropsey, former member of the Michigan House of Representatives and Senate.
Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SCR-0007,FALSE
09scr0008,SCR 0008 of 2009,NA,NA,2009-2010,SCR,NA,NA,"A concurrent resolution to urge the Michigan Public Service Commission to establish a nuclear waste escrow account to receive funds collected from Michigan's electric utility customers.

Last Action: REFERRED TO COMMITTEE ON ENERGY POLICY AND PUBLIC UTILITIES",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SCR-0008,FALSE
