doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
11sb0001,SB 0001 of 2011,NA,NA,2011-2012,SB,Michigan business tax,repeal,Michigan business tax; repeal; Michigan business tax; repeal. Repeals 2007 PA 36 (MCL 208.1101 - 208.1601).Last Action: REFERRED TO COMMITTEE ON FINANCE,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SB-0001,FALSE
11sb0002,SB 0002 of 2011,NA,NA,2011-2012,SB,Transportation,funds,Transportation; funds; distribution of funding formula; modify under certain circumstances. Amends sec. 12 of 1951 PA 51 (MCL 247.662).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SB-0002,FALSE
11sb0003,SB 0003 of 2011,NA,NA,2011-2012,SB,Income tax,credit,Income tax; credit; charitable contributions to an educational foundation; provide for. Amends sec. 261 of 1967 PA 281 (MCL 206.261).Last Action: REFERRED TO COMMITTEE ON FINANCE,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SB-0003,FALSE
11sb0004,SB 0004 of 2011,NA,NA,2011-2012,SB,State financing and management,budget,State financing and management; budget; budget process; establish a target deadline of May 30 of each year. Amends 1984 PA 431 (MCL 18.1101 - 18.1594) by adding sec. 365.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SB-0004,FALSE
11sb0005,SB 0005 of 2011,11pa0020,PA 0020 of 2011,2011-2012,SB,Liquor,licenses,"Liquor; licenses; ""catering permit"" for specially designated distributors, specially designated merchants, and on-premises licensees to serve alcohol at locations other than the licensed premises under certain circumstances; provide for. Amends 1998 PA 58 (MCL 436.1101 - 436.2303) by adding sec. 547.Last Action: ASSIGNED PA 0020'11 WITH IMMEDIATE EFFECT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SB-0005,FALSE
11sb0006,SB 0006 of 2011,NA,NA,2011-2012,SB,Michigan business tax,surcharge,Michigan business tax; surcharge; surcharge for taxpayers other than financial institutions; eliminate. Amends sec. 281 of 2007 PA 36 (MCL 208.1281).Last Action: REFERRED TO COMMITTEE ON FINANCE,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SB-0006,FALSE
11sb0007,SB 0007 of 2011,11pa0152,PA 0152 of 2011,2011-2012,SB,Labor,public service employment,Labor; public service employment; mandated public employee contribution to employer-provider health care benefits; provide for. Creates new act.Last Action: ASSIGNED PA 0152'11 WITH IMMEDIATE EFFECT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SB-0007,FALSE
11sb0008,SB 0008 of 2011,11pa0258,PA 0258 of 2011,2011-2012,SB,Local government,intergovernmental affairs,Local government; intergovernmental affairs; municipal partnership act; create. Creates new act.  TIE BAR WITH: SB 0009'11Last Action: ASSIGNED PA 0258'11 WITH IMMEDIATE EFFECT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SB-0008,FALSE
11sb0009,SB 0009 of 2011,11pa0259,PA 0259 of 2011,2011-2012,SB,Labor,public service employment,"Labor; public service employment; reference to municipal partnership act; provide for in public employment relations act. Amends 1947 PA 336 (MCL 423.201 - 423.217) by adding sec. 1a.  TIE BAR WITH: HB 4309'11, HB 4311'11, HB 4312'11, SB 0008'11Last Action: ASSIGNED PA 0259'11 WITH IMMEDIATE EFFECT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SB-0009,FALSE
11sb0010,SB 0010 of 2011,NA,NA,2011-2012,SB,Elections,other,"Elections; other; reference to municipal partnership act; provide for in the Michigan election law. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 976a.  TIE BAR WITH: SB 0008'11Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SB-0010,FALSE
