doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
15sjr000A,SJR A of 2015,NA,NA,2015-2016,SJR,Natural resources,hunting,"Natural resources; hunting; right to hunt, trap, and fish; recognize in constitution. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON OUTDOOR RECREATION AND TOURISM",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SJR-A,FALSE
15hjr000A,HJR A of 2015,NA,NA,2015-2016,HJR,Individual income tax,rate,"Individual income tax; rate; graduated income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: printed joint resolution filed 01/16/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-A,FALSE
15hjr000B,HJR B of 2015,NA,NA,2015-2016,HJR,Constitutional amendments,state,"Constitutional amendments; state; limited support for students with special needs to attend nonpublic schools; allow. Amends sec. 2, art. VIII of the state constitution.Last Action: referred to second reading",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-B,FALSE
15sjr000B,SJR B of 2015,NA,NA,2015-2016,SJR,Legislature,legislators,Legislature; legislators; compensation of legislators who are absent from legislative session; modify. Amends the state constitution by adding sec. 55 to art. IV.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SJR-B,FALSE
15sjr000C,SJR C of 2015,NA,NA,2015-2016,SJR,Constitutional amendments,state,Constitutional amendments; state; Michigan natural resources trust fund; modify allowable expenditures. Amends the state constitution by adding sec. 35 to art. IX.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SJR-C,FALSE
15hjr000C,HJR C of 2015,NA,NA,2015-2016,HJR,Legislature,legislators,"Legislature; legislators; term limits; revise. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 01/16/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-C,FALSE
15hjr000D,HJR D of 2015,NA,NA,2015-2016,HJR,Higher education,tuition,"Higher education; tuition; in-district tuition rates for active service members and veterans; provide for. Amends sec. 7, art. VIII of the state constitution.Last Action: printed joint resolution filed 01/16/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-D,FALSE
15sjr000D,SJR D of 2015,NA,NA,2015-2016,SJR,Constitutional amendments,state,"Constitutional amendments; state; equal amount of per pupil funding for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SJR-D,FALSE
15sjr000E,SJR E of 2015,NA,NA,2015-2016,SJR,Constitutional amendments,state,"Constitutional amendments; state; operation of public school on for-profit basis; prohibit in state constitution. Amends sec. 2, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SJR-E,FALSE
15hjr000E,HJR E of 2015,NA,NA,2015-2016,HJR,Legislature,sessions,"Legislature; sessions; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: printed joint resolution filed 01/28/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-E,FALSE
15hjr000F,HJR F of 2015,NA,NA,2015-2016,HJR,Constitutional amendments,state,"Constitutional amendments; state; equal amount of per pupil funding for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: printed joint resolution filed 01/28/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-F,FALSE
15sjr000F,SJR F of 2015,NA,NA,2015-2016,SJR,Individual income tax,rate,"Individual income tax; rate; graduated income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SJR-F,FALSE
15sjr000G,SJR G of 2015,NA,NA,2015-2016,SJR,Crimes,homicide,"Crimes; homicide; death penalty for first degree murder of a peace officer or corrections officer while in the line of duty; permit. Amends sec. 46, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON JUDICIARY",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SJR-G,FALSE
15hjr000G,HJR G of 2015,NA,NA,2015-2016,HJR,Individual income tax,credit,"Individual income tax; credit; prohibition on credits for nonpublic schools; eliminate. Amends sec. 2, art. VIII of the state constitution.Last Action: printed joint resolution filed 02/04/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-G,FALSE
15hjr000H,HJR H of 2015,NA,NA,2015-2016,HJR,Natural resources,hunting,"Natural resources; hunting; constitutional right to hunt, trap, and fish; provide for. Amends the state constitution by adding sec. 28 to art. I.Last Action: printed joint resolution filed 02/18/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-H,FALSE
15sjr000H,SJR H of 2015,NA,NA,2015-2016,SJR,Human services,services or financial assistance,"Human services; services or financial assistance; illegal aliens collecting public assistance; prohibit. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND HUMAN SERVICES",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SJR-H,FALSE
15sjr000I,SJR I of 2015,NA,NA,2015-2016,SJR,Family law,marriage and divorce,"Family law; marriage and divorce; constitutional prohibition of same-sex marriage and civil unions; repeal. Repeals sec. 25, art. I of the state constitution.Last Action: REFERRED TO COMMITTEE ON JUDICIARY",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SJR-I,FALSE
15hjr000I,HJR I of 2015,NA,NA,2015-2016,HJR,Property tax,assessments,"Property tax; assessments; limitation on taxable value based on change in SEV; amend constitution to provide for. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 02/18/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-I,FALSE
15hjr000J,HJR J of 2015,NA,NA,2015-2016,HJR,Administrative procedure,rules,"Administrative procedure; rules; expiration; provide for expiration of rules and executive reorganizations after set time. Amends the state constitution by adding sec. 31, art. V.Last Action: printed joint resolution filed 03/06/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-J,FALSE
15sjr000J,SJR J of 2015,NA,NA,2015-2016,SJR,Courts,judges,"Courts; judges; election of or appointment to a judicial office of person who has reached 70 years of age; remove prohibition. Amends sec. 19, art. VI of the state constitution.Last Action: REFERRED TO COMMITTEE OF THE WHOLE",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SJR-J,FALSE
15sjr000K,SJR K of 2015,NA,NA,2015-2016,SJR,Legislature,other,"Legislature; other; appropriation bills subject to referendum; clarify. Amends sec. 9, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SJR-K,FALSE
15hjr000K,HJR K of 2015,NA,NA,2015-2016,HJR,Individual income tax,rate,"Individual income tax; rate; graduated income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: printed joint resolution filed 03/13/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-K,FALSE
15hjr000L,HJR L of 2015,NA,NA,2015-2016,HJR,Family law,marriage and divorce,"Family law; marriage and divorce; constitutional prohibition of same-sex marriage and civil unions; repeal. Repeals sec. 25, art. I of the state constitution.  TIE BAR WITH: HB 4374'15, HB 4375'15Last Action: printed joint resolution filed 03/25/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-L,FALSE
15sjr000L,SJR L of 2015,NA,NA,2015-2016,SJR,Legislature,apportionment,"Legislature; apportionment; independent citizens redistricting commission; create. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SJR-L,FALSE
15sjr000M,SJR M of 2015,NA,NA,2015-2016,SJR,Sales tax,rate,"Sales tax; rate; rate increase; provide for, earmark additional revenue for transportation purposes, and nullify certain tax and fee increases. Amends sec. 8, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SJR-M,FALSE
15hjr000M,HJR M of 2015,NA,NA,2015-2016,HJR,Legislature,sessions,"Legislature; sessions; sine die; establish as the Friday before the first Monday in November in an even year. Amends sec. 13, art. IV of the state constitution.Last Action: printed joint resolution filed 03/26/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-M,FALSE
15hjr000N,HJR N of 2015,NA,NA,2015-2016,HJR,Criminal procedure,warrants,"Criminal procedure; warrants; search and seizure protections; expand to include electronic communications and seizures. Amends sec. 11, art. I of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-N,FALSE
15sjr000N,SJR N of 2015,NA,NA,2015-2016,SJR,State financing and management,funds,"State financing and management; funds; appropriation bills subject to referendum; clarify. Amends sec. 9, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-SJR-N,FALSE
15hjr000O,HJR O of 2015,NA,NA,2015-2016,HJR,Higher education,governing boards,"Higher education; governing boards; open meetings for university boards; require, and provide for public inspection of records. Amends sec. 4, art. VIII of the state constitution.Last Action: referred to second reading",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-O,FALSE
15hjr000P,HJR P of 2015,NA,NA,2015-2016,HJR,Legislature,legislative agencies,"Legislature; legislative agencies; fiscal impact statement; prohibit bill from being considered until house and senate fiscal agencies have prepared. Amends sec. 26, art. IV of the state constitution.Last Action: printed joint resolution filed 04/29/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-P,FALSE
15hjr000Q,HJR Q of 2015,NA,NA,2015-2016,HJR,Public employees and officers,state,"Public employees and officers; state; term limits for certain state elected officials; repeal. Repeals sec. 54, art. IV & sec. 30, art. V of the state constitution.Last Action: printed joint resolution filed 05/01/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-Q,FALSE
15hjr000R,HJR R of 2015,NA,NA,2015-2016,HJR,Legislature,other,"Legislature; other; legislature's ability to disapprove certain rules, regulations, or enforcement actions; provide for. Amends sec. 37, art. IV of the state constitution.Last Action: printed joint resolution filed 06/11/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-R,FALSE
15hjr000S,HJR S of 2015,NA,NA,2015-2016,HJR,Courts,judges,"Courts; judges; age limit for election of or appointment to a judicial office; increase to 75 years of age. Amends sec. 19, art. VI of the state constitution.Last Action: printed joint resolution filed 06/12/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-S,FALSE
15hjr000T,HJR T of 2015,NA,NA,2015-2016,HJR,Individual income tax,other,"Individual income tax; other; imposition of state income taxes on individuals and businesses; prohibit. Amends sec. 7, art. IX of the state constitution.Last Action: printed joint resolution filed 06/18/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-T,FALSE
15hjr000U,HJR U of 2015,NA,NA,2015-2016,HJR,Legislature,rules,"Legislature; rules; bills or initiative petitions to take effect upon the expiration of 90 days after the date they are filed with the secretary of state; provide for. Amends sec. 27, art. IV of the state constitution.Last Action: printed joint resolution filed 06/19/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-U,FALSE
15hjr000V,HJR V of 2015,NA,NA,2015-2016,HJR,Legislature,legislators,"Legislature; legislators; term limits; repeal. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 06/19/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-V,FALSE
15hjr000W,HJR W of 2015,NA,NA,2015-2016,HJR,Legislature,legislators,"Legislature; legislators; term limits; revise to combination of 16 years' total legislative service. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 06/19/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-W,FALSE
15hjr000X,HJR X of 2015,NA,NA,2015-2016,HJR,Legislature,legislators,"Legislature; legislators; term limits; revise to allow a member to serve nonconcurrent terms. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 06/19/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-X,FALSE
15hjr000Y,HJR Y of 2015,NA,NA,2015-2016,HJR,Legislature,sessions,"Legislature; sessions; unicameral nonpartisan legislature; provide for. Amends sec. 9, art. II, sec. 8, art. III, secs. 1, 7, 8, 11, 12, 14, 16, 17, 18, 19, 20, 22, 24, 26, 27, 29, 30, 31, 33, 37, 43, 53 & 54, art. IV, secs. 2, 3, 6, 7, 13, 18, 20, 25, 26, 28 & 29, art. V, secs. 1 & 25, art. VI, sec. 6, art. VIII, secs. 15 & 27, art. IX, sec. 5, art. X, secs. 5 & 7, art. XI & secs. 1 & 3, art. XII; adds sec. 1a to art. IV & a schedule & temp. provisions & repeals secs. 2, 3, 4, 6 & 21, art. IV of the state constitution.Last Action: printed joint resolution filed 07/15/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-Y,FALSE
15hjr000Z,HJR Z of 2015,NA,NA,2015-2016,HJR,Insurance,exchanges,Insurance; exchanges; creation of an American health benefit exchange; prohibit. Amends the state constitution by adding sec. 55 to art. IV.Last Action: printed joint resolution filed 07/15/2015,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-Z,FALSE
15hjr00AA,HJR AA of 2015,NA,NA,2015-2016,HJR,Legislature,apportionment,"Legislature; apportionment; independent citizens redistricting commission; create. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: printed joint resolution filed 08/19/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-AA,FALSE
15hjr00BB,HJR BB of 2015,NA,NA,2015-2016,HJR,Legislature,other,Legislature; other; application for a convention of the states under article V of the United States constitution; provide for. Creates new bill.Last Action: printed joint resolution filed 08/21/2015,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-BB,FALSE
15hjr00CC,HJR CC of 2015,NA,NA,2015-2016,HJR,State financing and management,funds,"State financing and management; funds; percentage of federal funds allocated to state budget; modify. Amends sec. 28, art. IX of the state constitution.Last Action: printed joint resolution filed 09/10/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-CC,FALSE
15hjr00DD,HJR DD of 2015,NA,NA,2015-2016,HJR,Legislature,legislators,"Legislature; legislators; minimum age for state senators, state representatives, governor, and lieutenant governor; revise. Amends sec. 7, art. IV & sec. 22, art. V of the state constitution.Last Action: printed joint resolution filed 09/23/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-DD,FALSE
15hjr00EE,HJR EE of 2015,NA,NA,2015-2016,HJR,Elections,scheduling,"Elections; scheduling; election date for governor, attorney general, secretary of state, and state senate; modify. Amends sec. 2, art. IV  & sec. 21, art. V of the state constitution.Last Action: printed joint resolution filed 12/04/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-EE,FALSE
15hjr00FF,HJR FF of 2015,NA,NA,2015-2016,HJR,State financing and management,funds,"State financing and management; funds; appropriation bills subject to referendum; clarify. Amends sec. 9, art. II of the state constitution.Last Action: printed joint resolution filed 12/11/2015",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2015-HJR-FF,FALSE
16sjr000O,SJR O of 2016,NA,NA,2015-2016,SJR,Controlled substances,marihuana,"Controlled substances; marihuana; legalization of marihuana; provide for. Amends sec. 40a, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON JUDICIARY",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-SJR-O,FALSE
16sjr000P,SJR P of 2016,NA,NA,2015-2016,SJR,Elections,other,Elections; other; special election to fill vacancy in office of lieutenant governor; provide for. Amends the state constitution by adding sec. 21a to art. V.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2016-SJR-P,FALSE
