doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
19scr0001,SCR 0001 of 2019,NA,NA,2019-2020,SCR,NA,NA,A concurrent resolution granting authority for adjournment for more than 2 days.Last Action: HOUSE CONCURRENCE RECEIVED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SCR-0001,FALSE
19hcr0001,HCR 0001 of 2019,NA,NA,2019-2020,HCR,NA,NA,A concurrent resolution to disapprove Executive Order No. 2019-02.Last Action: adopted by Senate - referred to the Clerk for record,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HCR-0001,FALSE
19hcr0002,HCR 0002 of 2019,NA,NA,2019-2020,HCR,NA,NA,"A concurrent resolution to declare Adverse Childhood Experiences (ACEs) a critical health issue, commit the Legislature to action, and encourage the Governor to direct agencies to assess and report progress on reducing ACEs.Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HCR-0002,FALSE
19scr0002,SCR 0002 of 2019,NA,NA,2019-2020,SCR,NA,NA,A concurrent resolution for the adoption of the Joint Rules of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SCR-0002,FALSE
19scr0003,SCR 0003 of 2019,NA,NA,2019-2020,SCR,NA,NA,A concurrent resolution prescribing the Joint Convention Rules for the Legislature.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SCR-0003,FALSE
19hcr0003,HCR 0003 of 2019,NA,NA,2019-2020,HCR,NA,NA,"A concurrent resolution to call on the Michigan Veterans' Facility Authority to ensure plans for the new state veterans homes include designated smoking areas.Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND VETERANS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HCR-0003,FALSE
19hcr0004,HCR 0004 of 2019,NA,NA,2019-2020,HCR,NA,NA,A concurrent resolution to urge the Congress of the United States to clarify its position on the legality of marijuana under the Controlled Substances Act of 1970.Last Action: referred to Committee on Judiciary,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HCR-0004,FALSE
19scr0004,SCR 0004 of 2019,NA,NA,2019-2020,SCR,NA,NA,A concurrent resolution providing for a joint convention of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SCR-0004,FALSE
19scr0005,SCR 0005 of 2019,NA,NA,2019-2020,SCR,NA,NA,A concurrent resolution providing for a joint convention of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SCR-0005,FALSE
19hcr0005,HCR 0005 of 2019,NA,NA,2019-2020,HCR,NA,NA,A concurrent resolution prescribing the legislative schedule.Last Action: adopted by Senate - referred to the Clerk for record,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HCR-0005,FALSE
