doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
21sb0001,SB 0001 of 2021,NA,NA,2021-2022,SB,Health,diseases,Health: diseases; time limits on emergency orders issued in response to an epidemic; provide for unless extension is approved by the legislature and require emergency order to include certain information. Amends sec. 2253 of 1978 PA 368 (MCL 333.2253) & adds sec. 2253a.Last Action: POSTPONED FOR THE DAY,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SB-0001,FALSE
21sb0002,SB 0002 of 2021,NA,NA,2021-2022,SB,Employment security,benefits,Employment security: benefits; maximum number of unemployment benefit weeks; increase. Amends sec. 27 of 1936 (Ex Sess) PA 1 (MCL 421.27).Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SB-0002,FALSE
21sb0003,SB 0003 of 2021,NA,NA,2021-2022,SB,Individual income tax,retirement or pension benefits,Individual income tax: retirement or pension benefits; 3-tier limitations and restrictions on deduction for retirement or pension benefits based on taxpayer's age; eliminate. Amends sec. 30 of 1967 PA 281 (MCL 206.30).Last Action: REFERRED TO COMMITTEE ON FINANCE,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SB-0003,FALSE
21sb0004,SB 0004 of 2021,NA,NA,2021-2022,SB,Highways,construction and repair,Highways: construction and repair; warranties for all new state pavement construction projects; require. Amends sec. 11 of 1951 PA 51 (MCL 247.661).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SB-0004,FALSE
21sb0005,SB 0005 of 2021,NA,NA,2021-2022,SB,Fireworks,use,"Fireworks: use; number of days fireworks are permitted; modify, and increase penalties for violations. Amends secs. 7 & 12 of 2011 PA 256 (MCL 28.457 & 28.462).Last Action: REFERRED TO COMMITTEE ON REGULATORY REFORM",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SB-0005,FALSE
21sb0006,SB 0006 of 2021,NA,NA,2021-2022,SB,Health occupations,health professionals,Health occupations: health professionals; definition of invasive bodily examination; add. Amends secs. 16105 & 16016 of 1978 PA 368 (MCL 333.16105 & 333.16106).  TIE BAR WITH: SB 0007'21Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY AND HUMAN SERVICES,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SB-0006,FALSE
21sb0007,SB 0007 of 2021,NA,NA,2021-2022,SB,Health occupations,health professionals,Health occupations: health professionals; invasive bodily examinations; prohibit under certain circumstances. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 16279.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY AND HUMAN SERVICES,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SB-0007,FALSE
21sb0008,SB 0008 of 2021,22pa0196,PA 0196 of 2022,2021-2022,SB,Elections,absent voters,Elections: absent voters; definition of United States Department of Defense verified electronic signature; provide for. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 18a.  TIE BAR WITH: SB 0311'21Last Action: ASSIGNED PA 0196'22 WITH IMMEDIATE EFFECT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SB-0008,FALSE
21sb0009,SB 0009 of 2021,NA,NA,2021-2022,SB,Elections,absent voters,Elections: absent voters; electronic return of absent voter ballots by military voters and their spouses; provide for. Amends sec. 759a of 1954 PA 116 (MCL 168.759a).  TIE BAR WITH: SB 0008'21Last Action: REFERRED TO COMMITTEE ON ELECTIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SB-0009,FALSE
21sb0010,SB 0010 of 2021,21pa0031,PA 31 of 2021,2021-2022,SB,Records,veterans,Records: veterans; veteran services boards; allow to hold closed sessions when interviewing veterans' applications for benefits. Amends sec. 8 of 1976 PA 267 (MCL 15.268).Last Action: ASSIGNED PA 0031'21 WITH IMMEDIATE EFFECT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2021-SB-0010,FALSE
