doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
25sb0001,SB 0001 of 2025,NA,NA,2025-2026,SB,Civil rights,public records,Civil rights: public records; applicability of the freedom of information act to the legislature and governor's office; provide for. Amends sec. 2 of 1976 PA 442 (MCL 15.232).  TIE BAR WITH: SB 0002'25Last Action: referred to Committee on Government Operations,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SB-0001,TRUE
25sb0002,SB 0002 of 2025,NA,NA,2025-2026,SB,Civil rights,public records,"Civil rights: public records; applicability of the freedom of information act to the legislature and governor's office; provide for. Amends secs. 6, 10 & 13 of 1976 PA 442 (MCL 15.236 et seq.) & adds sec. 14a.   TIE BAR WITH: SB 0001'25Last Action: referred to Committee on Government Operations",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SB-0002,TRUE
25sb0003,SB 0003 of 2025,NA,NA,2025-2026,SB,Health,pharmaceuticals,"Health: pharmaceuticals; prescription drug cost and affordability review act; create. Creates new act. 
Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SB-0003,TRUE
25sb0004,SB 0004 of 2025,NA,NA,2025-2026,SB,Insurance,health insurers,"Insurance: health insurers; compliance with the prescription drug cost and affordability review act; require. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406tt.   TIE BAR WITH: SB 0003'25Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SB-0004,TRUE
25sb0005,SB 0005 of 2025,NA,NA,2025-2026,SB,Human services,medical services,"Human services: medical services; compliance with the prescription drug cost and affordability review act; require. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 109o. 
  TIE BAR WITH: SB 0003'25Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SB-0005,TRUE
25sb0006,SB 0006 of 2025,NA,NA,2025-2026,SB,Labor,fair employment practices,"Labor: fair employment practices; various employer requirements; provide for. Amends secs. 1, 7, 11, 13, 13a, 14, 15, 18 & 19 of 1978 PA 390 (MCL 408.471 et seq.) & adds secs. 13c & 13d. Last Action: REFERRED TO COMMITTEE ON LABOR",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SB-0006,TRUE
25sb0007,SB 0007 of 2025,NA,NA,2025-2026,SB,Criminal procedure,sentencing guidelines,Criminal procedure: sentencing guidelines; sentencing guidelines for certain employer violations; provide for. Amends sec. 14b of 1927 PA 175 (MCL 777.14b).   TIE BAR WITH: SB 0006'25Last Action: REFERRED TO COMMITTEE ON LABOR,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SB-0007,TRUE
25sb0008,SB 0008 of 2025,NA,NA,2025-2026,SB,Labor,hours and wages,"Labor: hours and wages; minimum hourly wage rate; modify Amends secs. 4, 4d & 10 of 2018 PA 337 (MCL 408.934 et seq.). Last Action: received on 02/14/2024",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SB-0008,TRUE
25sb0009,SB 0009 of 2025,NA,NA,2025-2026,SB,Education,facilities,Education: facilities; requirements concerning restrooms and other certain areas in public schools; modify. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1146a. Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SB-0009,TRUE
25sb0010,SB 0010 of 2025,NA,NA,2025-2026,SB,Property,land sales,Property: land sales; sale or transfer of real property to foreign entities; prohibit. Amends title & secs. 35 & 36 of 1846 RS 66 (MCL 554.135 & 554.136) & adds sec. 36a. Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SB-0010,TRUE
25sb0011,SB 0011 of 2025,NA,NA,2025-2026,SB,Local government,other,Local government: other; local government sanctuary policy prohibition act; create. Creates new act. Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SB-0011,TRUE
25sb0012,SB 0012 of 2025,NA,NA,2025-2026,SB,Individual income tax,deductions,Individual income tax: deductions; definition of dependent; include fetus. Amends sec. 8 of 1967 PA 281 (MCL 206.8). Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SB-0012,TRUE
25sb0013,SB 0013 of 2025,NA,NA,2025-2026,SB,Individual income tax,credit,Individual income tax: credit; beginning farmer tax credit; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 279. Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SB-0013,TRUE
