doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
25hr0001,HR 0001 of 2025,NA,NA,2025-2026,HR,NA,NA,A resolution to prescribe the Standing Rules for the 2025-2026 session of the House of Representatives.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0001,TRUE
25sr0001,SR 0001 of 2025,NA,NA,2025-2026,SR,NA,NA,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SR-0001,TRUE
25sr0002,SR 0002 of 2025,NA,NA,2025-2026,SR,NA,NA,A resolution prescribing the Standing Rules of the Senate.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SR-0002,TRUE
25hr0002,HR 0002 of 2025,NA,NA,2025-2026,HR,NA,NA,A resolution to provide for Rachelle Smit to be Speaker Pro Tempore of the House of Representatives for the One Hundred Third Legislature.Last Action: roll call Roll Call #2 Yeas 110 Nays 0 Excused 0 Not Voting 0,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0002,TRUE
25hr0003,HR 0003 of 2025,NA,NA,2025-2026,HR,NA,NA,A resolution to provide for Scott E. Starr to be the Clerk of the House of Representatives for the One Hundred Third Legislature.Last Action: roll call Roll Call #3 Yeas 110 Nays 0 Excused 0 Not Voting 0,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0003,TRUE
25sr0003,SR 0003 of 2025,NA,NA,2025-2026,SR,NA,NA,"A resolution to authorize the Senate Majority Leader to commence legal action, on behalf of the Senate, to compel the House of Representatives to fulfill its constitutional duty to present to the Governor the nine remaining bills passed by both houses during the One Hundred Second Legislature.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SR-0003,TRUE
25sr0004,SR 0004 of 2025,NA,NA,2025-2026,SR,NA,NA,"A resolution to recognize January 26-February 1, 2025, as Catholic Schools Week.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SR-0004,TRUE
25hr0004,HR 0004 of 2025,NA,NA,2025-2026,HR,NA,NA,A resolution to fix the hour for daily sessions.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0004,TRUE
25hr0005,HR 0005 of 2025,NA,NA,2025-2026,HR,NA,NA,A resolution to direct the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0005,TRUE
25sr0005,SR 0005 of 2025,NA,NA,2025-2026,SR,NA,NA,A resolution to recognize January 2025 as Muslim American Heritage Month.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SR-0005,TRUE
25sr0006,SR 0006 of 2025,NA,NA,2025-2026,SR,NA,NA,"A resolution condemning the attack on the United States Capitol on January 6, 2021, including the assault on the courageous members of the Capitol Police, and denouncing the use of presidential pardon power to absolve those who participated in the dangerous and anti-democratic riots.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SR-0006,TRUE
25hr0006,HR 0006 of 2025,NA,NA,2025-2026,HR,NA,NA,A resolution to direct the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0006,TRUE
25hr0007,HR 0007 of 2025,NA,NA,2025-2026,HR,NA,NA,A resolution to create the Select Committee on Protecting Michigan Employees and Small Businesses.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0007,TRUE
25sr0007,SR 0007 of 2025,NA,NA,2025-2026,SR,NA,NA,"A resolution to recognize February 11, 2025, as the United Auto Workers’ (UAW) White Shirt Day.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SR-0007,TRUE
25sr0008,SR 0008 of 2025,NA,NA,2025-2026,SR,NA,NA,"A resolution to recognize February 3-7, 2025, as School Counseling Week.Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SR-0008,TRUE
25hr0008,HR 0008 of 2025,NA,NA,2025-2026,HR,NA,NA,"A resolution to declare January 13, 2025, as Delta Sigma Theta Sorority, Incorporated, Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0008,TRUE
25hr0009,HR 0009 of 2025,NA,NA,2025-2026,HR,NA,NA,"A resolution to declare January 26-February 1, 2025, as School Choice Week in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0009,TRUE
25sr0009,SR 0009 of 2025,NA,NA,2025-2026,SR,NA,NA,A resolution to amend the Standing Rules of the Senate.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SR-0009,TRUE
25sr0010,SR 0010 of 2025,NA,NA,2025-2026,SR,NA,NA,A resolution to recognize February 2025 as Black History Month.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-SR-0010,TRUE
25hr0010,HR 0010 of 2025,NA,NA,2025-2026,HR,NA,NA,"A resolution to declare January 27, 2025, as Holocaust Remembrance Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0010,TRUE
25hr0011,HR 0011 of 2025,NA,NA,2025-2026,HR,NA,NA,"A resolution to declare January 26-February 1, 2025, as Catholic Schools Week in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0011,TRUE
25hr0012,HR 0012 of 2025,NA,NA,2025-2026,HR,NA,NA,A resolution to declare January 2025 as National Stalking Awareness Month in the state of Michigan.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0012,TRUE
25hr0013,HR 0013 of 2025,NA,NA,2025-2026,HR,NA,NA,A resolution of tribute offered as a memorial for President Jimmy Carter.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0013,TRUE
25hr0014,HR 0014 of 2025,NA,NA,2025-2026,HR,NA,NA,A resolution to provide for a procedure for the required disclosures related to enhancement grants under Rule 52 of the Standing Rules of the House of Representatives.Last Action: roll call Roll Call #6 Yeas 105 Nays 0 Excused 0 Not Voting 5,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0014,TRUE
25hr0015,HR 0015 of 2025,NA,NA,2025-2026,HR,NA,NA,A resolution to condemn the sweeping presidential pardons for those involved in the attempted coup to overturn the 2020 presidential election at the United States Capitol.Last Action: referred to Committee on Government Operations,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0015,TRUE
25hr0016,HR 0016 of 2025,NA,NA,2025-2026,HR,NA,NA,A resolution to declare January 2025 as Radon Action Month in the state of Michigan.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0016,TRUE
25hr0017,HR 0017 of 2025,NA,NA,2025-2026,HR,NA,NA,"A resolution of tribute offered as a memorial for James McNutt, former member of the House of Representatives.Last Action: adopted by unanimous standing vote",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0017,TRUE
25hr0018,HR 0018 of 2025,NA,NA,2025-2026,HR,NA,NA,"A resolution to declare February 2025 as American Heart Month and February 5, 2025, as National Wear Red Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0018,TRUE
25hr0019,HR 0019 of 2025,NA,NA,2025-2026,HR,NA,NA,A resolution to amend the Standing Rules of the House of Representatives.Last Action: roll call Roll Call #7 Yeas 56 Nays 50 Excused 0 Not Voting 4,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0019,TRUE
25hr0020,HR 0020 of 2025,NA,NA,2025-2026,HR,NA,NA,A resolution to declare February 2025 as Career and Technical Education Month in the state of Michigan.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0020,TRUE
25hr0021,HR 0021 of 2025,NA,NA,2025-2026,HR,NA,NA,"A resolution to declare February 11, 2025, as White Shirt Day in the state of Michigan.Last Action: adopted",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HR-0021,TRUE
