doc_id,senate_committee,senate_committee_refdate,house_committee,house_committee_refdate
05sb0001,HEALTH POLICY,2005-01-12,NA,NA
05sb0002,"AGRICULTURE, FORESTRY AND TOURISM",2005-01-12,Agriculture,2005-05-10
05sb0003,GOVERNMENT OPERATIONS,2005-01-12,NA,NA
05sb0004,EDUCATION,2005-01-12,NA,NA
05sb0005,GOVERNMENT OPERATIONS,2005-01-12,NA,NA
05sb0006,GOVERNMENT OPERATIONS,2005-01-12,NA,NA
05sb0007,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-01-12,NA,NA
05sb0008,APPROPRIATIONS,2005-01-12,NA,NA
05sb0009,HEALTH POLICY,2005-01-12,NA,NA
05sb0010,HEALTH POLICY,2005-01-12,NA,NA
05sb0011,HEALTH POLICY,2005-01-12,NA,NA
05sb0012,FINANCE,2005-01-12,NA,NA
05sb0013,FINANCE,2005-01-12,NA,NA
05sb0014,FINANCE,2005-01-12,NA,NA
05sb0015,EDUCATION,2005-01-12,NA,NA
05sb0016,BANKING AND FINANCIAL INSTITUTIONS,2005-01-12,NA,NA
05sb0017,"LOCAL, URBAN AND STATE AFFAIRS",2005-01-12,NA,NA
05sb0018,JUDICIARY,2005-01-12,NA,NA
05sb0019,JUDICIARY,2005-01-12,NA,NA
05sb0020,EDUCATION,2005-01-12,NA,NA
05sb0021,BANKING AND FINANCIAL INSTITUTIONS,2005-01-12,NA,NA
05sb0022,TECHNOLOGY AND ENERGY,2005-01-12,NA,NA
05sb0023,BANKING AND FINANCIAL INSTITUTIONS,2005-01-12,NA,NA
05sb0024,JUDICIARY,2005-01-12,NA,NA
05sb0025,BANKING AND FINANCIAL INSTITUTIONS,2005-01-12,NA,NA
05sb0026,BANKING AND FINANCIAL INSTITUTIONS,2005-01-12,NA,NA
05sb0027,BANKING AND FINANCIAL INSTITUTIONS,2005-01-12,NA,NA
05sb0028,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-01-25,NA,NA
05sb0029,BANKING AND FINANCIAL INSTITUTIONS,2005-01-25,NA,NA
05sb0030,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-01-25,NA,NA
05sb0031,GOVERNMENT OPERATIONS,2005-01-25,NA,NA
05sb0032,FINANCE,2005-01-25,NA,NA
05sb0033,JUDICIARY,2005-01-25,NA,NA
05sb0034,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-01-25,Commerce,2005-06-30
05sb0035,BANKING AND FINANCIAL INSTITUTIONS,2005-01-25,NA,NA
05sb0036,GOVERNMENT OPERATIONS,2005-01-25,NA,NA
05sb0037,GOVERNMENT OPERATIONS,2005-01-25,NA,NA
05sb0038,BANKING AND FINANCIAL INSTITUTIONS,2005-01-25,NA,NA
05sb0039,BANKING AND FINANCIAL INSTITUTIONS,2005-01-25,NA,NA
05sb0040,JUDICIARY,2005-01-25,NA,NA
05sb0041,JUDICIARY,2005-01-25,NA,NA
05sb0042,JUDICIARY,2005-01-25,NA,NA
05sb0043,FINANCE,2005-01-25,Tax Policy,2006-04-25
05sb0044,EDUCATION,2005-01-25,NA,NA
05sb0045,FINANCE,2005-01-25,NA,NA
05sb0046,FINANCE,2005-01-25,NA,NA
05sb0047,FINANCE,2005-01-25,NA,NA
05sb0048,APPROPRIATIONS,2005-01-25,Appropriations,2006-07-26
05sb0049,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-01-25,NA,NA
05sb0050,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-01-25,Regulatory Reform,2006-06-08
05sb0051,FINANCE,2005-01-25,NA,NA
05sb0052,"ECONOMIC DEVELOPMENT, SMALL BUSINESS AND REGULATORY REFORM",2005-01-25,Commerce,2005-03-09
05sb0053,TECHNOLOGY AND ENERGY,2005-01-25,Judiciary,2005-03-09
05sb0054,TECHNOLOGY AND ENERGY,2005-01-25,Judiciary,2005-03-09
05sb0055,APPROPRIATIONS,2005-01-25,NA,NA
05sb0056,APPROPRIATIONS,2005-01-25,NA,NA
05sb0057,EDUCATION,2005-01-25,NA,NA
05sb0058,TECHNOLOGY AND ENERGY,2005-01-25,NA,NA
05sb0059,JUDICIARY,2005-01-25,Local Government and Urban Policy,2006-12-05
05sb0060,JUDICIARY,2005-01-25,NA,NA
05sb0061,FINANCE,2005-01-25,NA,NA
05sb0062,COMMERCE AND LABOR,2005-01-25,NA,NA
05sb0063,GOVERNMENT OPERATIONS,2005-01-25,NA,NA
05sb0064,FINANCE,2005-01-25,NA,NA
05sb0065,FINANCE,2005-01-25,Tax Policy,2006-06-22
05sb0066,FAMILIES AND HUMAN SERVICES,2005-01-25,NA,NA
05sb0067,FAMILIES AND HUMAN SERVICES,2005-01-25,NA,NA
05sb0068,FINANCE,2005-01-25,NA,NA
05sb0069,EDUCATION,2005-01-25,Education,2005-02-17
05sb0070,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-01-25,"Natural Resources, Great Lakes, Land Use, and Environment",2005-03-15
05sb0071,NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS,2005-01-25,NA,NA
