Document,Type,Description
SB 0001 of 2011,Senate Bill,Michigan business tax; repeal; Michigan business tax; repeal. Repeals 2007 PA 36 (MCL 208.1101 - 208.1601).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0002 of 2011,Senate Bill,Transportation; funds; distribution of funding formula; modify under certain circumstances. Amends sec. 12 of 1951 PA 51 (MCL 247.662).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0003 of 2011,Senate Bill,Income tax; credit; charitable contributions to an educational foundation; provide for. Amends sec. 261 of 1967 PA 281 (MCL 206.261).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0004 of 2011,Senate Bill,State financing and management; budget; budget process; establish a target deadline of May 30 of each year. Amends 1984 PA 431 (MCL 18.1101 - 18.1594) by adding sec. 365.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0005 of 2011 (PA 0020 of 2011),Senate Bill,"Liquor; licenses; ""catering permit"" for specially designated distributors, specially designated merchants, and on-premises licensees to serve alcohol at locations other than the licensed premises under certain circumstances; provide for. Amends 1998 PA 58 (MCL 436.1101 - 436.2303) by adding sec. 547.Last Action: ASSIGNED PA 0020'11 WITH IMMEDIATE EFFECT"
SB 0006 of 2011,Senate Bill,Michigan business tax; surcharge; surcharge for taxpayers other than financial institutions; eliminate. Amends sec. 281 of 2007 PA 36 (MCL 208.1281).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0007 of 2011 (PA 0152 of 2011),Senate Bill,Labor; public service employment; mandated public employee contribution to employer-provider health care benefits; provide for. Creates new act.Last Action: ASSIGNED PA 0152'11 WITH IMMEDIATE EFFECT
SB 0008 of 2011 (PA 0258 of 2011),Senate Bill,Local government; intergovernmental affairs; municipal partnership act; create. Creates new act.  TIE BAR WITH: SB 0009'11Last Action: ASSIGNED PA 0258'11 WITH IMMEDIATE EFFECT
SB 0009 of 2011 (PA 0259 of 2011),Senate Bill,"Labor; public service employment; reference to municipal partnership act; provide for in public employment relations act. Amends 1947 PA 336 (MCL 423.201 - 423.217) by adding sec. 1a.  TIE BAR WITH: HB 4309'11, HB 4311'11, HB 4312'11, SB 0008'11Last Action: ASSIGNED PA 0259'11 WITH IMMEDIATE EFFECT"
SB 0010 of 2011,Senate Bill,"Elections; other; reference to municipal partnership act; provide for in the Michigan election law. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 976a.  TIE BAR WITH: SB 0008'11Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING"
SB 0011 of 2011,Senate Bill,"Labor; public service employment; definition of public employee; clarify regarding persons who receive payments from government subsidies. Amends secs. 1 & 14 of 1947 PA 336 (MCL 423.201 & 423.214).Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING"
