Document,Type,Description
HCR 0001 of 2011,House Concurrent Resolution,"A concurrent resolution to affirm Michigan's sovereignty under the Tenth Amendment to the Constitution of the United States and to urge the federal government to halt its practice of imposing mandates upon the states for purposes not enumerated by the Constitution of the United States.

Last Action: referred to Committee on Oversight, Reform, and Ethics"
SCR 0001 of 2011,Senate Concurrent Resolution,A concurrent resolution granting authority for adjournment for more than 2 days.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0002 of 2011,Senate Concurrent Resolution,A concurrent resolution prescribing the Joint Convention Rules for the Legislature.Last Action: REFERRED TO SECRETARY FOR RECORD
HCR 0002 of 2011,House Concurrent Resolution,"A concurrent resolution to express opposition to the imposition of a ban of firearm hunting and snowmobiling in certain areas of the Huron-Manistee National Forest.

Last Action: adopted by Senate - referred to the Clerk for record"
HCR 0003 of 2011,House Concurrent Resolution,"A concurrent resolution to express support for the Attorney General's efforts to accelerate federal government efforts to devise a plan to prevent Asian carp from invading the Great Lakes and to call on the Snyder administration and the Obama administration to take all necessary actions to prevent the invasion.

Last Action: referred to Committee on Natural Resources, Tourism, and Outdoor Recreation"
SCR 0003 of 2011,Senate Concurrent Resolution,A concurrent resolution providing for a joint convention of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0004 of 2011,Senate Concurrent Resolution,A concurrent resolution to express support for the concept of preparing biennial state budgets.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
HCR 0004 of 2011,House Concurrent Resolution,"A concurrent resolution to urge the United States Department of Energy and the Nuclear Regulatory Commission to do everything necessary to allow the Yucca Mountain repository to begin accepting high-level nuclear waste.

Last Action: adopted by Senate - referred to the Clerk for record"
HCR 0005 of 2011,House Concurrent Resolution,"A concurrent resolution to urge Congress to extend the waiver on interest accrued on advances received by the state for unemployment benefits.

Last Action: referred to Committee on Commerce"
SCR 0005 of 2011,Senate Concurrent Resolution,A concurrent resolution for the adoption of the Joint Rules of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0006 of 2011,Senate Concurrent Resolution,"A concurrent resolution to memorialize the United States Congress to take immediate steps to impose a moratorium on greenhouse gas, air quality, and other regulatory actions by the Environmental Protection Agency.Last Action: REFERRED TO SECRETARY FOR RECORD"
HCR 0006 of 2011,House Concurrent Resolution,"A concurrent resolution to memorialize Congress to adopt and submit to the states for ratification an amendment to the United States Constitution to require a balanced budget.

Last Action: PLACED ON ORDER OF RESOLUTIONS"
HCR 0007 of 2011,House Concurrent Resolution,"A concurrent resolution to urge the U.S. Congress and the U.S. Army Corps of Engineers to take immediate actions to prevent the Asian carp from entering the Great Lakes and to develop long-term strategies to address this problem.

Last Action: adopted by Senate - referred to the Clerk for record"
SCR 0007 of 2011,Senate Concurrent Resolution,A concurrent resolution to urge the United States Department of Energy and the Nuclear Regulatory Commission to fulfill their obligation to establish a permanent repository for high-level nuclear waste.Last Action: REFERRED TO SECRETARY FOR RECORD
SCR 0008 of 2011,Senate Concurrent Resolution,A concurrent resolution to revise the project costs of the Western Michigan University Sangren Hall Replacement project.Last Action: REFERRED TO SECRETARY FOR RECORD
HCR 0008 of 2011,House Concurrent Resolution,"A concurrent resolution to urge the Congress of the United States to make every effort to expedite and fund the Great Lakes and Mississippi River Basin Interbasin Study and to ensure Asian carp do not invade the Great Lakes.

Last Action: adopted by Senate - referred to the Clerk for record"
HCR 0009 of 2011,House Concurrent Resolution,"A concurrent resolution to urge the Federal Energy Regulatory Commission to grant a rehearing and modify its December 16, 2010 order approving the Midwest Independent Transmission System Operator's cost allocation proposal to share transmission costs.
Last Action: Senate substitute S-1 concurred in"
SCR 0009 of 2011,Senate Concurrent Resolution,"A concurrent resolution to reject the proposed increase in rates of compensation recommended by the Civil Service Commission and contained in the Executive Budget for fiscal year 2011-2012 relative to the extension of health benefits to adults and their dependents living with but not related to a classified employee.
Last Action: not adopted Roll Call # 77 Yeas 66 Nays 41"
SCR 0010 of 2011,Senate Concurrent Resolution,A concurrent resolution to approve a certain designated open space land application for property in Midland County.Last Action: referred to Committee on Agriculture
HCR 0010 of 2011,House Concurrent Resolution,A concurrent resolution prescribing the legislative schedule.Last Action: adopted by Senate - referred to the Clerk for record
HCR 0011 of 2011,House Concurrent Resolution,"A concurrent resolution to memorialize Congress to adopt and present to the states for ratification an amendment to the Constitution of the United States to establish fundamental parental rights.

Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SCR 0011 of 2011,Senate Concurrent Resolution,"A concurrent resolution to express opposition to the President's proposal to make major cuts to funding for the Great Lakes Restoration Initiative and to memorialize the U.S. Congress to reject the reductions.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SCR 0012 of 2011,Senate Concurrent Resolution,"A concurrent resolution of tribute offered as a memorial for James Damman, former Lieutenant Governor and former member of the House of Representatives.Last Action: returned to Senate"
HCR 0012 of 2011,House Concurrent Resolution,"A concurrent resolution to express opposition to the federal government withholding road funding to the states based on passage of the Safe Teen and Novice Driver Uniform Protection Act (STAND UP Act).

Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
HCR 0013 of 2011,House Concurrent Resolution,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and Kirtland Community College relative to the Kirtland Community College Well Water System Upgrade.

Last Action: adopted by Senate - referred to the Clerk for record"
SCR 0013 of 2011,Senate Concurrent Resolution,"A concurrent resolution to call on the state and federal government to work cooperatively to fund the restoration of the breakwall at the Grand Marais Harbor.Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SCR 0014 of 2011,Senate Concurrent Resolution,"A concurrent resolution to memorialize Congress to adopt and submit to the states for ratification an amendment to the United States Constitution to provide for a means of amending the Constitution through a convention limited to the consideration of a specific amendment as proposed by at least two-thirds of the states.

Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HCR 0014 of 2011,House Concurrent Resolution,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease among the State of Michigan, the State Building Authority, and Oakland University relative to the Oakland University Human Health Building.

Last Action: adopted by Senate - referred to the Clerk for record"
HCR 0015 of 2011,House Concurrent Resolution,"A concurrent resolution approving a decrease in Total Project Cost and approving a lease between the State of Michigan (the ""State"") and the State Building Authority (the ""Authority"") relative to the Department of Management and Budget State Facility Preservation Projects-Phase I and Phase II Group E Special Maintenance Projects (the ""Facility"").

Last Action: adopted by Senate - referred to the Clerk for record"
SCR 0015 of 2011,Senate Concurrent Resolution,"A concurrent resolution to request the Michigan Supreme Court to issue an opinion on the constitutionality of the provisions of 2011 PA 38 allowing the taxation of certain pension income.

Last Action: referred to Committee on Tax Policy"
SCR 0016 of 2011,Senate Concurrent Resolution,A concurrent resolution prescribing the legislative schedule.Last Action: REFERRED TO SECRETARY FOR RECORD
HCR 0016 of 2011,House Concurrent Resolution,"A concurrent resolution approving a decrease in the Total Project Cost and approving a lease between the State of Michigan (the ""State"") and the State Building Authority (the ""Authority"") relative to the Department of Technology, Management and Budget State Facility Preservation Projects-Phase I and II Group F VanWagoner Building (the ""Facility"").

Last Action: adopted by Senate - referred to the Clerk for record"
HCR 0017 of 2011,House Concurrent Resolution,"A concurrent resolution approving a decrease in Total Project Cost and approving a lease between the State of Michigan (the ""State"") and the State Building Authority (the ""Authority"") relative to the Department of Technology, Management and Budget State Facility Preservation Projects-Phase I and II Group G Special Maintenance Projects (the ""Facility"").

Last Action: adopted by Senate - referred to the Clerk for record"
SCR 0017 of 2011,Senate Concurrent Resolution,"A concurrent resolution prescribing the legislative schedule.
Last Action: referred to Committee on Government Operations"
SCR 0018 of 2011,Senate Concurrent Resolution,"A concurrent resolution to memorialize Congress to take immediate action to close the O'Brien Lock and Dam in the Chicago Waterway System to prevent Asian carp from entering Lake Michigan and the Great Lakes watershed.

Last Action: REFERRED TO SECRETARY FOR RECORD"
HCR 0018 of 2011,House Concurrent Resolution,"A concurrent resolution approving a lease between the State of Michigan and the State Building Authority relative to the Department of Technology, Management and Budget State Facility Preservation Projects-Phase I and II Group H Special Maintenance Projects (the ""Facility"").

Last Action: adopted by Senate - referred to the Clerk for record"
HCR 0019 of 2011,House Concurrent Resolution,"A concurrent resolution approving the conveyance of property to the State Building Authority and approving a lease between the State of Michigan and the State Building Authority relative to the Department of Technology, Management and Budget State Facility Preservation Projects-Phase I and Phase II Group I Michigan Library and Historical Center (the ""Facility"").
Last Action: adopted by Senate - referred to the Clerk for record"
