Document,Type,Description
HJR A of 2011,House Joint Resolution,"Legislature; legislators; legislative salaries; modify. Amends sec. 12, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 01/14/2011"
SJR A of 2011,Senate Joint Resolution,"State financing and management; budget; constitutional amendment to limit the budget and make certain deposits; modify. Amends sec. 31, art. IV & sec. 18, art. V of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SJR B of 2011,Senate Joint Resolution,"Labor; public service employment; constitutional amendment for salary reduction for public employees and temporary pay freeze; provide for. Amends sec. 10, art. I, secs. 12 & 48, art. IV, sec. 23, art. V, secs. 3 & 18, art. VI, sec. 9, art. VII, secs. 5, 6 & 7,  art. VIII & sec. 5, art. XI & adds sec. 9 to art. XI of the state constitution.Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING"
HJR B of 2011,House Joint Resolution,"Natural resources; gas and oil; distribution from sale of oil and gas leases on state property; modify. Amends sec. 35, art. IX of the state constitution.Last Action: printed joint resolution filed 01/14/2011"
HJR C of 2011,House Joint Resolution,"Legislature; legislators; term limits; revise to combination of 14 years' total legislative service. Amends sec. 54, art. IV of the state constitution.Last Action: printed joint resolution filed 01/14/2011"
SJR C of 2011,Senate Joint Resolution,Labor; civil service employment; health benefits of public employees and officers; allow legislature to regulate. Amends the state constitution by adding sec. 9 to art. XI.Last Action: postponed for the day
SJR D of 2011,Senate Joint Resolution,"Public employees and officers; other; constitutional amendment creating the independent redistricting commission; provide for. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR D of 2011,House Joint Resolution,"Higher education; tuition; in-state tuition rates of state universities; limit increases based on CPI in state constitution. Amends secs. 5 & 6, art. VIII & adds sec. 10 to art. VIII of the state constitution.Last Action: printed joint resolution filed 01/14/2011"
HJR E of 2011,House Joint Resolution,"Legislature; other; budget process; provide for presentation of two fiscal period budgets, modify fiscal year date, revise amount appropriated in a fiscal year, and establish certain policies for revenue estimating conferences. Amends sec. 31, art. IV & sec. 18, art. V of the state constitution.Last Action: printed joint resolution filed 01/14/2011"
SJR E of 2011,Senate Joint Resolution,"Legislature; other; budget process; require legislature to present all general appropriation bills to the governor by July 1 and require forfeiture of legislators' salaries for failure to present those bills by that date. Amends sec. 31, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE S-1"
SJR F of 2011,Senate Joint Resolution,"Human services; services or financial assistance; illegal aliens collecting public assistance; prohibit. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING"
HJR F of 2011,House Joint Resolution,"Sales tax; rate; lowering sales and use tax rate and applying sales tax to services; amend constitution to provide for. Amends secs. 8, 10 & 11, art. IX of the state constitution.Last Action: printed joint resolution filed 01/19/2011"
HJR G of 2011,House Joint Resolution,"Legislature; other; budget process; require legislature to present all general appropriation bills to the governor by July 1 and require forfeiture of legislator's salaries for failure to present those bills by the target date. Amends sec. 31, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 01/27/2011"
SJR G of 2011,Senate Joint Resolution,"Legislature; legislative agencies; fiscal impact statement; prohibit bill from being considered until house and senate fiscal agencies have prepared. Amends sec. 26, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR H of 2011,Senate Joint Resolution,"Natural resources; hunting; hunting, trapping, and fishing as a constitutional right; establish. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON OUTDOOR RECREATION AND TOURISM"
HJR H of 2011,House Joint Resolution,"Legislature; legislators; part-time legislature, term limits extension, and budget presentation to the governor by a certain date; provide for. Amends secs. 13, 31 & 54, art. IV of the state constitution.Last Action: printed joint resolution filed 01/27/2011"
SJR I of 2011,Senate Joint Resolution,Labor; collective bargaining; constitutional right to collective bargaining; create. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
HJR I of 2011,House Joint Resolution,"Legislature; other; 2-year budget process; establish. Amends sec. 31, art. IV, secs. 11, 14, 24, 26, 27, 28, 35, 35a & 40, art. IX & sec. 5, art. XI of the state constitution.Last Action: printed joint resolution filed 01/27/2011"
HJR J of 2011,House Joint Resolution,"Legislature; other; budget process; require legislature to present budgets to governor by July 1 and require forfeiture of legislators' salaries for failure to present those bills by that date. Amends sec. 31, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: printed joint resolution filed 02/16/2011"
SJR J of 2011,Senate Joint Resolution,"Income tax; rate; graduated state income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON FINANCE"
SJR K of 2011,Senate Joint Resolution,"Sales tax; other; local sales tax; authorize under certain circumstances. Amends sec. 8, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON FINANCE"
HJR K of 2011,House Joint Resolution,"Legislature; legislative agencies; fiscal impact statement; prohibit bill from being considered until house and senate fiscal agencies have prepared. Amends sec. 26, art. IV of the state constitution.Last Action: printed joint resolution filed 02/18/2011"
HJR L of 2011,House Joint Resolution,"Income tax; rate; graduated income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: printed joint resolution filed 02/25/2011"
SJR L of 2011,Senate Joint Resolution,"Legislature; sessions; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR M of 2011,Senate Joint Resolution,"Constitutional amendments; state; permissible uses of state school aid fund; revise. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR M of 2011,House Joint Resolution,"Legislature; legislators; vacancy in state senate or house of representatives; allow governor to appoint successor in certain circumstances. Amends sec. 13, art. V of the state constitution.Last Action: printed joint resolution filed 03/02/2011"
