Document,Type,Description
SB 0001 of 2013,Senate Bill,Labor; fair employment practices; protections regarding employee misclassification; provide for. Creates new act.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0002 of 2013,Senate Bill,"Occupations; nurses; advanced practice registered nurse (a.p.r.n.); establish license for nurse midwives, nurse practitioners, and clinical nurse specialists and provide other general amendments. Amends secs. 2701,  5119, 16125, 16161, 16163, 16216, 16231, 16231a, 16327, 17201, 17210, 17211, 17212, 17221, 17607, 17708, 17745, 17820, 17822, 18301 & 20201 of 1978 PA 368 (MCL 333.2701 et seq.) & adds secs. 17202, 17210a, 17211a, 17214 & 17221a.Last Action: referred to Committee on Health Policy"
SB 0003 of 2013,Senate Bill,Insurance; other; prepayment of tax credit; provide for. Amends sec. 476a of 1956 PA 218 (MCL 500.476a).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0004 of 2013,Senate Bill,Insurance; prudent purchaser agreements; authority to refuse reimbursement for certain chiropractic services; eliminate. Amends sec. 3 of 1984 PA 233 (MCL 550.53).Last Action: REFERRED TO COMMITTEE ON INSURANCE
SB 0005 of 2013,Senate Bill,"Vehicles; fund-raising registration plates; fund-raising registration plate for ""Calvin College""; create. Amends 1949 PA 300 (MCL 257.1 - 257.923) by adding sec. 811v.Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
SB 0006 of 2013,Senate Bill,Sales tax; distribution; percentage of sales tax collected on motor fuel to be earmarked to transportation funding in 2013 and each year thereafter; establish. Amends sec. 25 of 1933 PA 167 (MCL 205.75).Last Action: notice given to discharge committee
SB 0007 of 2013,Senate Bill,Natural resources; other; reference to definition of newspaper in natural resources and environmental protection act; revise to reflect repeal of statutory definition. Amends sec. 2133 of 1994 PA 451 (MCL 324.2133).  TIE BAR WITH: SB 0008'13Last Action: referred to second reading
SB 0008 of 2013,Senate Bill,Civil procedure; other; methods for publication of legal notices; modify. Amends sec. 1 of 1963 PA 247 (MCL 691.1051) & repeals secs. 1461 & 1950 of 1961 PA 236 (MCL 600.1461 & 600.1950).  TIE BAR WITH: SB 0007'13Last Action: referred to second reading
SB 0009 of 2013,Senate Bill,Public utilities; rates; power to set rates for certain water and sewer departments; grant to public service commission. Amends sec. 6 of 1939 PA 3 (MCL 460.6) & adds sec. 6t.Last Action: REFERRED TO COMMITTEE ON ENERGY AND TECHNOLOGY
SB 0010 of 2013,Senate Bill,Elections; petitions; name of individual or organization providing compensation to a circulator of a ballot question petition; require to be printed on the front of the petition. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 482a.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 0011 of 2013,Senate Bill,Property tax; assessments; sale price as presumptive true cash value when property is sold; establish. Amends sec. 27 of 1893 PA 206 (MCL 211.27).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0012 of 2013,Senate Bill,"Insurance; health; authority to refuse reimbursement for certain chiropractic services; eliminate. Amends secs. 3107b, 3405, 3475 & 3631 of 1956 PA 218 (MCL 500.3107b et seq.).Last Action: REFERRED TO COMMITTEE ON INSURANCE"
SB 0013 of 2013,Senate Bill,Transportation; motor carrier fuel tax; motor carrier fuel tax act; repeal. Repeals 1980 PA 119 (MCL 207.211 - 207.234).  TIE BAR WITH: SJR A'13Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0014 of 2013,Senate Bill,Transportation; motor fuel tax; motor fuel tax act; repeal. Repeals 2000 PA 403 (MCL 207.1001 - 207.1170).  TIE BAR WITH: SJR A'13Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0015 of 2013,Senate Bill,Sales tax; collections; distribution of certain amount of revenue collected restricted to fund for tourism marketing and promotion; provide for. Amends sec. 25 of 1933 PA 167 (MCL 205.75).Last Action: REFERRED TO COMMITTEE ON OUTDOOR RECREATION AND TOURISM
SB 0016 of 2013 (PA 0037 of 2013),Senate Bill,Natural resources; wildlife; wildlife violator compact law; modify enforcement provisions. Amends sec. 43559 of 1994 PA 451 (MCL 324.43559) & adds sec. 1616.Last Action: ASSIGNED PA 0037'13 WITH IMMEDIATE EFFECT
SB 0017 of 2013,Senate Bill,Children; health; use of cadmium or mercury in children's products; prohibit. Amends secs. 5491 & 5492 of 1978 PA 368 (MCL 333.5491 & 333.5492).Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 0018 of 2013,Senate Bill,"Human services; medical services; office of medicaid inspector general; create. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding secs. 104, 104a, 104b, 104c & 104d.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SB 0019 of 2013 (PA 0014 of 2013),Senate Bill,Financial institutions; mortgage brokers and lenders; appointments to the mortgage industry advisory board; modify. Amends sec. 33 of 1987 PA 173 (MCL 445.1683).Last Action: ASSIGNED PA 0014'13 WITH IMMEDIATE EFFECT
SB 0020 of 2013 (PA 0254 of 2014),Senate Bill,Environmental protection; permits; hazardous waste permit; allow DEQ to deny based on conviction of crime committed in pursuit of permit. Amends sec. 11123 of 1994 PA 451 (MCL 324.11123).Last Action: ASSIGNED PA 0254'14 WITH IMMEDIATE EFFECT
SB 0021 of 2013,Senate Bill,Economic development; downtown development authorities; requirement for historic commission approval regarding proposed changes to the exterior of historical sites; provide for. Amends sec. 29 of 1975 PA 197 (MCL 125.1679).Last Action: referred to Committee on Commerce
