Document,Type,Description
SB 0001 of 2017,Senate Bill,"Labor; hours and wages; reference to repealed law; eliminate in school code. Amends secs. 503, 523, 553 & 1311e of 1976 PA 451 (MCL 380.503 et seq.).  TIE BAR WITH: SB 0003'17Last Action: REFERRED TO COMMITTEE ON MICHIGAN COMPETITIVENESS"
SB 0002 of 2017,Senate Bill,Labor; hours and wages; reference to repealed law; eliminate. Amends secs. 6a & 8 of 1974 PA 338 (MCL 125.1606a & 125.1608).  TIE BAR WITH: SB 0003'17Last Action: REFERRED TO COMMITTEE ON MICHIGAN COMPETITIVENESS
SB 0003 of 2017,Senate Bill,Labor; hours and wages; requirement of paying prevailing wages on state projects; eliminate. Repeals 1965 PA 166 (MCL 408.551 & 408.558).Last Action: REFERRED TO COMMITTEE ON MICHIGAN COMPETITIVENESS
SB 0004 of 2017,Senate Bill,Individual income tax; other; annual rollback of rate until zero; provide for and repeal. Amends sec. 51 of 1967 PA 281 (MCL 206.51) & repeals pt. 1 of 1967 PA 281 (MCL 206.1 - 206.532).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0005 of 2017 (PA 0002 of 2017),Senate Bill,"Criminal procedure; other; certain definitions and requirements for the manner in which data regarding recidivism are collected; provide for in the code of criminal procedure. Amends sec. 1, ch. I of 1927 PA 175 (MCL 761.1) & adds sec. 21a to ch. XVI.Last Action: ASSIGNED PA 0002'17 WITH IMMEDIATE EFFECT"
SB 0006 of 2017 (PA 0003 of 2017),Senate Bill,Corrections; alternatives; certain definitions and requirements for the manner in which data regarding recidivism are collected; provide for in the community corrections act. Amends secs. 2 & 4 of 1988 PA 511 (MCL 791.402 & 791.404).Last Action: ASSIGNED PA 0003'17 WITH IMMEDIATE EFFECT
SB 0007 of 2017 (PA 0004 of 2017),Senate Bill,Corrections; other; definitions of certain terms and the manner in which data regarding recidivism are collected; provide for in the code of corrections. Amends 1953 PA 232 (MCL 791.201 - 791.285) by adding sec. 8a.Last Action: ASSIGNED PA 0004'17 WITH IMMEDIATE EFFECT
SB 0008 of 2017 (PA 0005 of 2017),Senate Bill,Corrections; parole; use of evidence-based supervision practices; require. Creates new act.Last Action: ASSIGNED PA 0005'17 WITH IMMEDIATE EFFECT
SB 0009 of 2017 (PA 0006 of 2017),Senate Bill,Corrections; other; reentry services provided to prisoners housed in correctional institutions by certain organizations; require the department to develop screening and registration policies and procedures for those organizations. Amends 1953 PA 232 (MCL 791.201 - 791.285) by adding sec. 69b.Last Action: ASSIGNED PA 0006'17 WITH IMMEDIATE EFFECT
SB 0010 of 2017 (PA 0007 of 2017),Senate Bill,Corrections; parole; department to provide quarterly report providing reasons inmates beyond their earliest release date have not been paroled; require. Amends 1953 PA 232 (MCL 791.201 - 791.285) by adding sec. 31b.Last Action: ASSIGNED PA 0007'17 WITH IMMEDIATE EFFECT
