Document,Type,Description
SB 0001 of 2023,Senate Bill,Individual income tax: retirement or pension benefits; limitations and restrictions on deductions of certain retirement or pension benefits and revenue distribution to state school aid fund; revise. Amends secs. 30 & 51 of 1967 PA 281 (MCL 206.30 & 206.51).Last Action: referred to Committee on Tax Policy
SB 0002 of 2023 (PA 12 of 2023),Senate Bill,Crimes: abortion; provision related to publication of cures for conceptive preventatives; repeal. Repeals sec. 40 of 1931 PA 328 (MCL 750.40).Last Action: ASSIGNED PA 0012'23
SB 0003 of 2023,Senate Bill,Individual income tax: credit; earned income tax credit; increase. Amends sec. 272 of 1967 PA 281 (MCL 206.272).Last Action: referred to Committee on Tax Policy
SB 0004 of 2023 (PA 6 of 2023),Senate Bill,"Civil rights: general discrimination; sexual orientation and gender identity or expression; include as categories protected under the Elliott-Larsen civil rights act. Amends title & secs. 102, 103, 202, 203, 204, 205, 206, 207, 209, 301, 302, 302a, 402, 501, 502, 504, 505 & 506 of 1976 PA 453 (MCL 37.2102 et seq.).Last Action: ASSIGNED PA 0006'23"
SB 0005 of 2023,Senate Bill,"Labor: collective bargaining; requirement for agency fee for nonunion members; allow in bargaining agreements and as condition of employment in public sector. Amends secs. 9, 10 & 15 of 1947 PA 336 (MCL 423.209 et seq.).Last Action: REFERRED TO COMMITTEE ON LABOR"
SB 0006 of 2023,Senate Bill,Labor: hours and wages; prevailing wage; reenact. Creates new act.Last Action: returned as requested
SB 0007 of 2023 (PA 1 of 2023),Senate Bill,Appropriations: supplemental; appropriations for multiple departments and branches for fiscal years 2021-2022 and 2022-2023; provide for. Creates appropriation act.Last Action: ASSIGNED PA 0001'23 WITH IMMEDIATE EFFECT
SB 0008 of 2023 (PA 3 of 2023),Senate Bill,"Appropriations: supplemental; supplemental appropriations in the school aid act for fiscal years 2021-2022 and 2022-2023; provide for. Amends secs. 11, 22b, 31f, 39a, 51a, 51c, 53a, 54 & 147c of 1979 PA 94 (MCL 388.1611 et seq.).Last Action: ASSIGNED PA 0003'23 WITH IMMEDIATE EFFECT"
SB 0009 of 2023,Senate Bill,"Individual income tax: deductions; definition of dependent; include fetus. Amends sec. 8 of 1967 PA 281 (MCL 206.8).Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0010 of 2023,Senate Bill,Public utilities: natural gas utilities; local units of government imposing a ban on the use of natural gas or installation of natural gas infrastructure; prohibit. Creates new act.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT
SB 0011 of 2023,Senate Bill,"Individual income tax: credit; beginning farmer tax credit; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 279.Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION"
SB 0012 of 2023 (PA 7 of 2023),Senate Bill,Education: elementary; requirements related to the retention of certain grade 3 pupils; modify. Amends sec. 1280f of 1976 PA 451 (MCL 380.1280f).Last Action: ASSIGNED PA 0007'23
SB 0013 of 2023 (PA 2 of 2023),Senate Bill,Elections: presidential primary; presidential primary election date; revise. Amends sec. 613a of 1954 PA 116 (MCL 168.613a).Last Action: ASSIGNED PA 0002'23
SB 0014 of 2023 (PA 104 of 2023),Senate Bill,Administrative procedure: rules; prohibition on adoption of rules by state agencies from being more stringent than federal regulations; eliminate. Amends secs. 32 & 45 of 1969 PA 306 (MCL 24.232 & 24.245).Last Action: ASSIGNED PA 0104'23
SB 0015 of 2023,Senate Bill,Public employees and officers: state; use of TikTok on state devices; prohibit. Amends sec. 2 of 1973 PA 196 (MCL 15.342).Last Action: REFERRED TO COMMITTEE ON LABOR
