doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
09hjr000A,HJR A of 2009,NA,NA,2009-2010,HJR,Legislature,legislators,"Legislature; legislators; legislative salaries; modify. Amends sec. 12, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: notice given to discharge committee",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HJR-A
09sjr000A,SJR A of 2009,NA,NA,2009-2010,SJR,Legislature,sessions,"Legislature; sessions; limitation of legislative session and repeal of term limits for legislators first serving in 2011 or later; provide for. Amends secs. 13 & 54, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SJR-A
09sjr000B,SJR B of 2009,NA,NA,2009-2010,SJR,Elections,school,"Elections; school; voting age for school district elections; reduce to 16 years of age under certain circumstances. Amends sec. 1, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SJR-B
09hjr000B,HJR B of 2009,NA,NA,2009-2010,HJR,Constitutional amendments,state,"Constitutional amendments; state; increase in taxable value of property; prohibit if market value is decreasing. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 01/23/2009",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HJR-B
09hjr000C,HJR C of 2009,NA,NA,2009-2010,HJR,Higher education,tuition,"Higher education; tuition; in-state tuition rates of state universities; limit increases based on CPI in state constitution. Amends secs. 5 & 6, art. VIII & adds sec. 10 to art. VIII of the state constitution.Last Action: printed joint resolution filed 01/23/2009",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HJR-C
09sjr000C,SJR C of 2009,NA,NA,2009-2010,SJR,Elections,initiative and referendum,"Elections; initiative and referendum; filing petition; include a requirement for geographic distribution of signatures. Amends sec. 9, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SJR-C
09sjr000D,SJR D of 2009,NA,NA,2009-2010,SJR,Legislature,legislators,"Legislature; legislators; legislator called for active military duty; amend constitution to establish temporary replacement. Amends sec. 8, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SJR-D
09hjr000D,HJR D of 2009,NA,NA,2009-2010,HJR,Legislature,legislators,Legislature; legislators; reduction of pay for legislators who miss session without a valid excuse; provide for. Amends the state constitution by adding sec. 55 to art. IV.Last Action: printed joint resolution filed 01/23/2009,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HJR-D
09hjr000E,HJR E of 2009,NA,NA,2009-2010,HJR,Property tax,assessments,"Property tax; assessments; limitation on taxable value based on change in SEV; amend constitution to provide for. Amends sec. 3, art. IX of the state constitution.Last Action: recommendation concurred in",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HJR-E
09sjr000E,SJR E of 2009,NA,NA,2009-2010,SJR,Legislature,other,"Legislature; other; repeal of unconstitutional provisions; provide for. Amends secs. 1 & 6, art. II, secs. 2 & 3, art. IV & sec. 6, art. IX & repeals sec. 10, art. II & secs. 4, 5 & 6 of art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SJR-E
09sjr000F,SJR F of 2009,NA,NA,2009-2010,SJR,Public employees and officers,constitutional amendment creating the independent redistricting commission,"Public employees and officers; constitutional amendment creating the independent redistricting commission; provide for. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SJR-F
09hjr000F,HJR F of 2009,NA,NA,2009-2010,HJR,Legislature,legislators,Legislature; legislators; reduction in pay for legislators who miss session without an excused absence; provide for. Amends the state constitution by adding sec. 55 to art. IV.Last Action: printed joint resolution filed 01/28/2009,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HJR-F
09hjr000G,HJR G of 2009,NA,NA,2009-2010,HJR,Property tax,assessments,"Property tax; assessments; taxable value; limit increase when market value increases by less than 5% or the rate of inflation. Amends sec. 3, art. IX of the state constitution.Last Action: recommendation concurred in",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-HJR-G
09sjr000G,SJR G of 2009,NA,NA,2009-2010,SJR,Legislature,legislators,"Legislature; legislators; term limits and rules regarding chairing legislative committees; modify. Amends secs. 16 & 54, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2009-SJR-G
