doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
11hcr0001,HCR 0001 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to affirm Michigan's sovereignty under the Tenth Amendment to the Constitution of the United States and to urge the federal government to halt its practice of imposing mandates upon the states for purposes not enumerated by the Constitution of the United States.

Last Action: referred to Committee on Oversight, Reform, and Ethics",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0001
11scr0001,SCR 0001 of 2011,NA,NA,2011-2012,SCR,NA,NA,A concurrent resolution granting authority for adjournment for more than 2 days.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0001
11scr0002,SCR 0002 of 2011,NA,NA,2011-2012,SCR,NA,NA,A concurrent resolution prescribing the Joint Convention Rules for the Legislature.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0002
11hcr0002,HCR 0002 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to express opposition to the imposition of a ban of firearm hunting and snowmobiling in certain areas of the Huron-Manistee National Forest.

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0002
11hcr0003,HCR 0003 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to express support for the Attorney General's efforts to accelerate federal government efforts to devise a plan to prevent Asian carp from invading the Great Lakes and to call on the Snyder administration and the Obama administration to take all necessary actions to prevent the invasion.

Last Action: referred to Committee on Natural Resources, Tourism, and Outdoor Recreation",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0003
11scr0003,SCR 0003 of 2011,NA,NA,2011-2012,SCR,NA,NA,A concurrent resolution providing for a joint convention of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0003
11scr0004,SCR 0004 of 2011,NA,NA,2011-2012,SCR,NA,NA,A concurrent resolution to express support for the concept of preparing biennial state budgets.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0004
11hcr0004,HCR 0004 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to urge the United States Department of Energy and the Nuclear Regulatory Commission to do everything necessary to allow the Yucca Mountain repository to begin accepting high-level nuclear waste.

Last Action: adopted by Senate - referred to the Clerk for record",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0004
11hcr0005,HCR 0005 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to urge Congress to extend the waiver on interest accrued on advances received by the state for unemployment benefits.

Last Action: referred to Committee on Commerce",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0005
11scr0005,SCR 0005 of 2011,NA,NA,2011-2012,SCR,NA,NA,A concurrent resolution for the adoption of the Joint Rules of the Senate and House of Representatives.Last Action: REFERRED TO SECRETARY FOR RECORD,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0005
11scr0006,SCR 0006 of 2011,NA,NA,2011-2012,SCR,NA,NA,"A concurrent resolution to memorialize the United States Congress to take immediate steps to impose a moratorium on greenhouse gas, air quality, and other regulatory actions by the Environmental Protection Agency.Last Action: REFERRED TO SECRETARY FOR RECORD",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-SCR-0006
11hcr0006,HCR 0006 of 2011,NA,NA,2011-2012,HCR,NA,NA,"A concurrent resolution to memorialize Congress to adopt and submit to the states for ratification an amendment to the United States Constitution to require a balanced budget.

Last Action: PLACED ON ORDER OF RESOLUTIONS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2011-HCR-0006
