doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
17sb0001,SB 0001 of 2017,NA,NA,2017-2018,SB,Labor,hours and wages,"Labor; hours and wages; reference to repealed law; eliminate in school code. Amends secs. 503, 523, 553 & 1311e of 1976 PA 451 (MCL 380.503 et seq.).  TIE BAR WITH: SB 0003'17Last Action: REFERRED TO COMMITTEE ON MICHIGAN COMPETITIVENESS",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0001
17sb0002,SB 0002 of 2017,NA,NA,2017-2018,SB,Labor,hours and wages,Labor; hours and wages; reference to repealed law; eliminate. Amends secs. 6a & 8 of 1974 PA 338 (MCL 125.1606a & 125.1608).  TIE BAR WITH: SB 0003'17Last Action: REFERRED TO COMMITTEE ON MICHIGAN COMPETITIVENESS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0002
17sb0003,SB 0003 of 2017,NA,NA,2017-2018,SB,Labor,hours and wages,Labor; hours and wages; requirement of paying prevailing wages on state projects; eliminate. Repeals 1965 PA 166 (MCL 408.551 & 408.558).Last Action: REFERRED TO COMMITTEE ON MICHIGAN COMPETITIVENESS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0003
17sb0004,SB 0004 of 2017,NA,NA,2017-2018,SB,Individual income tax,other,Individual income tax; other; annual rollback of rate until zero; provide for and repeal. Amends sec. 51 of 1967 PA 281 (MCL 206.51) & repeals pt. 1 of 1967 PA 281 (MCL 206.1 - 206.532).Last Action: REFERRED TO COMMITTEE ON FINANCE,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0004
17sb0005,SB 0005 of 2017,17pa0002,PA 0002 of 2017,2017-2018,SB,Criminal procedure,other,"Criminal procedure; other; certain definitions and requirements for the manner in which data regarding recidivism are collected; provide for in the code of criminal procedure. Amends sec. 1, ch. I of 1927 PA 175 (MCL 761.1) & adds sec. 21a to ch. XVI.Last Action: ASSIGNED PA 0002'17 WITH IMMEDIATE EFFECT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0005
17sb0006,SB 0006 of 2017,17pa0003,PA 0003 of 2017,2017-2018,SB,Corrections,alternatives,Corrections; alternatives; certain definitions and requirements for the manner in which data regarding recidivism are collected; provide for in the community corrections act. Amends secs. 2 & 4 of 1988 PA 511 (MCL 791.402 & 791.404).Last Action: ASSIGNED PA 0003'17 WITH IMMEDIATE EFFECT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0006
17sb0007,SB 0007 of 2017,17pa0004,PA 0004 of 2017,2017-2018,SB,Corrections,other,Corrections; other; definitions of certain terms and the manner in which data regarding recidivism are collected; provide for in the code of corrections. Amends 1953 PA 232 (MCL 791.201 - 791.285) by adding sec. 8a.Last Action: ASSIGNED PA 0004'17 WITH IMMEDIATE EFFECT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0007
17sb0008,SB 0008 of 2017,17pa0005,PA 0005 of 2017,2017-2018,SB,Corrections,parole,Corrections; parole; use of evidence-based supervision practices; require. Creates new act.Last Action: ASSIGNED PA 0005'17 WITH IMMEDIATE EFFECT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0008
17sb0009,SB 0009 of 2017,17pa0006,PA 0006 of 2017,2017-2018,SB,Corrections,other,Corrections; other; reentry services provided to prisoners housed in correctional institutions by certain organizations; require the department to develop screening and registration policies and procedures for those organizations. Amends 1953 PA 232 (MCL 791.201 - 791.285) by adding sec. 69b.Last Action: ASSIGNED PA 0006'17 WITH IMMEDIATE EFFECT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0009
17sb0010,SB 0010 of 2017,17pa0007,PA 0007 of 2017,2017-2018,SB,Corrections,parole,Corrections; parole; department to provide quarterly report providing reasons inmates beyond their earliest release date have not been paroled; require. Amends 1953 PA 232 (MCL 791.201 - 791.285) by adding sec. 31b.Last Action: ASSIGNED PA 0007'17 WITH IMMEDIATE EFFECT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0010
17sb0011,SB 0011 of 2017,NA,NA,2017-2018,SB,Legislature,other,Legislature; other; program for the management and collection of data related to criminal justice statistics; create. Creates new act.Last Action: VETOED BY GOVERNOR 03/30/2017,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0011
17sb0012,SB 0012 of 2017,17pa0008,PA 0008 of 2017,2017-2018,SB,Corrections,parole,Corrections; parole; commutation hearings and procedures; expedite review and hearing process for certain commutations if requested by governor. Amends sec. 44 of 1953 PA 232 (MCL 791.244) & adds sec. 44a.Last Action: ASSIGNED PA 0008'17 WITH IMMEDIATE EFFECT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0012
17sb0013,SB 0013 of 2017,17pa0009,PA 0009 of 2017,2017-2018,SB,Criminal procedure,probation,Criminal procedure; probation; penalties for probationers who commit technical probation violations; modify. Amends 1927 PA 175 (MCL 760.1 - 777.69) by adding sec. 4b to ch. XI.Last Action: ASSIGNED PA 0009'17 WITH IMMEDIATE EFFECT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0013
17sb0014,SB 0014 of 2017,NA,NA,2017-2018,SB,Labor,employment incentives,Labor; employment incentives; work opportunity employer reimbursement program; create. Creates new act.Last Action: referred to Committee on Law and Justice,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0014
17sb0015,SB 0015 of 2017,17pa0010,PA 0010 of 2017,2017-2018,SB,Criminal procedure,probation,"Criminal procedure; probation; reduction of term of probation; allow in certain cases. Amends sec. 2, ch. XI of 1927 PA 175 (MCL 771.2).Last Action: ASSIGNED PA 0010'17 WITH IMMEDIATE EFFECT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0015
17sb0016,SB 0016 of 2017,17pa0001,PA 0001 of 2017,2017-2018,SB,Corrections,parole,Corrections; parole; parole sanctions certainty act; create. Amends 1953 PA 232 (MCL 791.201 - 791.285) by adding ch. IIIB.Last Action: ASSIGNED PA 0001'17 WITH IMMEDIATE EFFECT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0016
17sb0017,SB 0017 of 2017,17pa0011,PA 0011 of 2017,2017-2018,SB,Corrections,parole,Corrections; parole; supervising region incentive program; create. Creates new act.  TIE BAR WITH: SB 0016'17Last Action: ASSIGNED PA 0011'17 WITH IMMEDIATE EFFECT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2017-SB-0017
