doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
19hr0001,HR 0001 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution prescribing the Standing Rules of the House of Representatives.Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0001
19sr0001,SR 0001 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0001
19sr0002,SR 0002 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution prescribing the Standing Rules of the Senate.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0002
19hr0002,HR 0002 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to provide for Jason Wentworth to be Speaker Pro Tempore of the House of Representatives for the Hundredth Legislature.Last Action: roll call Roll Call # 2 Yeas 110 Nays 0 Excused 0 Not Voting 0,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0002
19hr0003,HR 0003 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution to provide for the Clerk of the House of Representatives for the Hundredth Legislature.Last Action: roll call Roll Call # 3 Yeas 110 Nays 0 Excused 0 Not Voting 0,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0003
19sr0003,SR 0003 of 2019,NA,NA,2019-2020,SR,NA,NA,"A resolution recognizing January 2019 as ""Local School Board Recognition Month"".Last Action: ADOPTED",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0003
19sr0004,SR 0004 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to amend the Standing Rules of the Senate.Last Action: ADOPTED,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0004
19hr0004,HR 0004 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution fixing the hour for daily sessions.  Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0004
19hr0005,HR 0005 of 2019,NA,NA,2019-2020,HR,NA,NA,A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session. Last Action: adopted,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-HR-0005
19sr0005,SR 0005 of 2019,NA,NA,2019-2020,SR,NA,NA,A resolution to urge the Congress and President of the United States to end the partial federal government shutdown.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2019-SR-0005
