doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url
23sb0001,SB 0001 of 2023,NA,NA,2023-2024,SB,Individual income tax,retirement or pension benefits,Individual income tax: retirement or pension benefits; limitations and restrictions on deductions of certain retirement or pension benefits and revenue distribution to state school aid fund; revise. Amends secs. 30 & 51 of 1967 PA 281 (MCL 206.30 & 206.51).Last Action: referred to Committee on Tax Policy,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0001
23sb0002,SB 0002 of 2023,23pa0012,PA 12 of 2023,2023-2024,SB,Crimes,abortion,Crimes: abortion; provision related to publication of cures for conceptive preventatives; repeal. Repeals sec. 40 of 1931 PA 328 (MCL 750.40).Last Action: ASSIGNED PA 0012'23,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0002
23sb0003,SB 0003 of 2023,NA,NA,2023-2024,SB,Individual income tax,credit,Individual income tax: credit; earned income tax credit; increase. Amends sec. 272 of 1967 PA 281 (MCL 206.272).Last Action: referred to Committee on Tax Policy,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0003
23sb0004,SB 0004 of 2023,23pa0006,PA 6 of 2023,2023-2024,SB,Civil rights,general discrimination,"Civil rights: general discrimination; sexual orientation and gender identity or expression; include as categories protected under the Elliott-Larsen civil rights act. Amends title & secs. 102, 103, 202, 203, 204, 205, 206, 207, 209, 301, 302, 302a, 402, 501, 502, 504, 505 & 506 of 1976 PA 453 (MCL 37.2102 et seq.).Last Action: ASSIGNED PA 0006'23",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0004
23sb0005,SB 0005 of 2023,NA,NA,2023-2024,SB,Labor,collective bargaining,"Labor: collective bargaining; requirement for agency fee for nonunion members; allow in bargaining agreements and as condition of employment in public sector. Amends secs. 9, 10 & 15 of 1947 PA 336 (MCL 423.209 et seq.).Last Action: REFERRED TO COMMITTEE ON LABOR",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0005
23sb0006,SB 0006 of 2023,NA,NA,2023-2024,SB,Labor,hours and wages,Labor: hours and wages; prevailing wage; reenact. Creates new act.Last Action: returned as requested,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0006
23sb0007,SB 0007 of 2023,23pa0001,PA 1 of 2023,2023-2024,SB,Appropriations,supplemental,Appropriations: supplemental; appropriations for multiple departments and branches for fiscal years 2021-2022 and 2022-2023; provide for. Creates appropriation act.Last Action: ASSIGNED PA 0001'23 WITH IMMEDIATE EFFECT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0007
23sb0008,SB 0008 of 2023,23pa0003,PA 3 of 2023,2023-2024,SB,Appropriations,supplemental,"Appropriations: supplemental; supplemental appropriations in the school aid act for fiscal years 2021-2022 and 2022-2023; provide for. Amends secs. 11, 22b, 31f, 39a, 51a, 51c, 53a, 54 & 147c of 1979 PA 94 (MCL 388.1611 et seq.).Last Action: ASSIGNED PA 0003'23 WITH IMMEDIATE EFFECT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0008
23sb0009,SB 0009 of 2023,NA,NA,2023-2024,SB,Individual income tax,deductions,"Individual income tax: deductions; definition of dependent; include fetus. Amends sec. 8 of 1967 PA 281 (MCL 206.8).Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0009
23sb0010,SB 0010 of 2023,NA,NA,2023-2024,SB,Public utilities,natural gas utilities,Public utilities: natural gas utilities; local units of government imposing a ban on the use of natural gas or installation of natural gas infrastructure; prohibit. Creates new act.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0010
23sb0011,SB 0011 of 2023,NA,NA,2023-2024,SB,Individual income tax,credit,"Individual income tax: credit; beginning farmer tax credit; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 279.Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0011
23sb0012,SB 0012 of 2023,23pa0007,PA 7 of 2023,2023-2024,SB,Education,elementary,Education: elementary; requirements related to the retention of certain grade 3 pupils; modify. Amends sec. 1280f of 1976 PA 451 (MCL 380.1280f).Last Action: ASSIGNED PA 0007'23,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0012
23sb0013,SB 0013 of 2023,23pa0002,PA 2 of 2023,2023-2024,SB,Elections,presidential primary,Elections: presidential primary; presidential primary election date; revise. Amends sec. 613a of 1954 PA 116 (MCL 168.613a).Last Action: ASSIGNED PA 0002'23,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0013
23sb0014,SB 0014 of 2023,23pa0104,PA 104 of 2023,2023-2024,SB,Administrative procedure,rules,Administrative procedure: rules; prohibition on adoption of rules by state agencies from being more stringent than federal regulations; eliminate. Amends secs. 32 & 45 of 1969 PA 306 (MCL 24.232 & 24.245).Last Action: ASSIGNED PA 0104'23,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0014
23sb0015,SB 0015 of 2023,NA,NA,2023-2024,SB,Public employees and officers,state,Public employees and officers: state; use of TikTok on state devices; prohibit. Amends sec. 2 of 1973 PA 196 (MCL 15.342).Last Action: REFERRED TO COMMITTEE ON LABOR,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0015
23sb0016,SB 0016 of 2023,NA,NA,2023-2024,SB,Records,death,"Records: death; amendment of a death record by any individual other than a person who completed certain certifications of the death record; prohibit. Amends sec. 2896 of 1978 PA 368 (MCL 333.2896).Last Action: REFERRED TO COMMITTEE ON CIVIL RIGHTS, JUDICIARY, AND PUBLIC SAFETY",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0016
23sb0017,SB 0017 of 2023,NA,NA,2023-2024,SB,Fireworks,ordinances,"Fireworks: ordinances; the days that fireworks use may be regulated by a local unit of government; modify, and increase sanctions for certain violations. Amends secs. 7 & 12 of 2011 PA 256 (MCL 28.457 & 28.462).Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0017
23sb0018,SB 0018 of 2023,23pa0032,PA 32 of 2023,2023-2024,SB,Holidays,other,"Holidays: other; ""Fred Korematsu Day""; designate as January 30 of each year. Amends title of 2003 PA 225 (MCL 435.301 - 435.303) & adds sec. 4.Last Action: ASSIGNED PA 0032'23 WITH IMMEDIATE EFFECT",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0018
23sb0019,SB 0019 of 2023,NA,NA,2023-2024,SB,Property tax,tax tribunal,"Property tax: tax tribunal; tax tribunal jurisdiction over certain disputes related to the assessment of property for purposes of property taxes; amend. Amends secs. 31 & 35a of 1973 PA 186 (MCL 205.731 & 205.735a).Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0019
23sb0020,SB 0020 of 2023,NA,NA,2023-2024,SB,Property tax,appeals,"Property tax: appeals; process for appealing certain assessment-related disputes as to certain property; amend. Amends sec. 34 of 1893 PA 206 (MCL 211.34) & adds secs. 34f & 34g.Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0020
23sb0021,SB 0021 of 2023,NA,NA,2023-2024,SB,Highways,bridges,Highways: bridges; Mackinac Bridge; designate as critical infrastructure. Amends sec. 552c of 1931 PA 328 (MCL 750.552c).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0021
23sb0022,SB 0022 of 2023,23pa0219,PA 219 of 2023,2023-2024,SB,Aeronautics,airports,"Aeronautics: airports; prohibition of weapons in a sterile area of an airport; clarify, and provide penalties. Amends sec. 80f of 1945 PA 327 (MCL 259.80f).Last Action: ASSIGNED PA 0219'23",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0022
23sb0023,SB 0023 of 2023,NA,NA,2023-2024,SB,School aid,membership,School aid: membership; requirements concerning counting pupils in membership; modify for pupils enrolled in certain work-based learning experiences. Amends secs. 6 & 11 of 1979 PA 94 (MCL 388.1606 & 388.1611) & adds sec. 61e.Last Action: REFERRED TO COMMITTEE OF THE WHOLE WITH SUBSTITUTE (S-1),https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0023
23sb0024,SB 0024 of 2023,NA,NA,2023-2024,SB,Individual income tax,returns,"Individual income tax: returns; extension of filing deadline for income taxes under certain circumstances; authorize. Amends sec. 301a of 1967 PA 281 (MCL 206.301a).Last Action: REFERRED TO COMMITTEE ON FINANCE, INSURANCE, AND CONSUMER PROTECTION",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-SB-0024
