Document,Type,Description
SB 0001 of 2007 (PA 0100 of 2007),Senate Bill,"Human services; medical services; certain incentives for medicaid recipients; request a federal waiver to provide for. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 105b.  TIE BAR WITH: HB 5194'07, HB 5198'07Last Action: ASSIGNED PA 0100'07 WITH IMMEDIATE EFFECT"
SB 0002 of 2007,Senate Bill,"Campaign finance; public disclosure; disclosure of committees that employ and registration of persons who make ""robocalls"" in campaigns; require. Amends sec. 6 of 1976 PA 388 (MCL 169.206) & adds sec. 48.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT"
SB 0003 of 2007,Senate Bill,"Elections; campaign practices; do-not-call list for automated political telephone calls; provide for. Amends secs. 2, 5 & 11 of 1976 PA 388 (MCL 169.202 et seq.) & adds sec. 48.Last Action: referred to Committee on Ethics and Elections"
SB 0004 of 2007,Senate Bill,Communications; cellular telephone; customer consent to list numbers in a cell phone directory; require. Amends 1991 PA 179 (MCL 484.2101 - 484.2604) by adding sec. 360a.Last Action: REFERRED TO COMMITTEE ON HOMELAND SECURITY AND EMERGING TECHNOLOGIES
SB 0005 of 2007,Senate Bill,Health; occupations; scope of practice for marriage and family therapists; clarify. Amends sec. 16901 of 1978 PA 368 (MCL 333.16901).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0006 of 2007,Senate Bill,"Criminal procedure; sentencing; sentencing individual convicted as a juvenile to imprisonment for life without parole eligibility; prohibit. Amends secs. 1 & 1b, ch. IX of 1927 PA 175 (MCL 769.1 & 769.1b).Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0007 of 2007,Senate Bill,Energy; conservation; appliance and equipment energy efficiency standards; establish. Creates new act.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM
SB 0008 of 2007,Senate Bill,Environmental protection; permits; zoning compliance; require as a condition of issuance of wastewater permits. Amends sec. 3113 of 1994 PA 451 (MCL 324.3113).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES AND ENVIRONMENTAL AFFAIRS
SB 0009 of 2007,Senate Bill,"Corrections; parole; parole of certain juvenile offenders sentenced to imprisonment for life; allow. Amends sec. 34 of 1953 PA 232 (MCL 791.234).  TIE BAR WITH: SB 0006'07, SB 0028'07, SB 0040'07Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0010 of 2007,Senate Bill,Elections; voters; election by mail; implement. Amends sec. 726 of 1954 PA 116 (MCL 168.726) & adds secs. 750a & 750b.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT
SB 0011 of 2007,Senate Bill,Education; attendance; compulsory age for attendance; increase age to 18 and provide for certain alternative education options. Amends secs. 1561 & 1596 of 1976 PA 451 (MCL 380.1561 & 380.1596) & adds sec. 1591.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0012 of 2007,Senate Bill,"Elections; absent voters; qualifications for voting absentee; eliminate. Amends secs. 758, 759 & 759b of 1954 PA 116 (MCL 168.758 et seq.).Last Action: DISCHARGE COMMITTEE POSTPONED"
SB 0013 of 2007,Senate Bill,"Elections; registration; registering to vote on day of election and voting at that election; allow. Amends secs. 491, 497 & 497a of 1954 PA 116 (MCL 168.491 et seq.) & adds sec. 499e.Last Action: REFERRED TO COMMITTEE ON CAMPAIGN AND ELECTION OVERSIGHT"
SB 0014 of 2007 (PA 0004 of 2007),Senate Bill,Agriculture; other; loan repayment for sugar beet cooperatives; extend. Amends sec. 2e of 1855 PA 105 (MCL 21.142e).Last Action: ASSIGNED PA 0004'07 WITH IMMEDIATE EFFECT
SB 0015 of 2007,Senate Bill,Income tax; checkoff; funding for prostate cancer research fund; provide for checkoff. Amends 1967 PA 281 (MCL 206.1 - 206.532) by adding sec. 436.  TIE BAR WITH: SB 0016'07Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0016 of 2007 (PA 0135 of 2007),Senate Bill,Income tax; checkoff; prostate cancer research fund act; create. Creates new act.  TIE BAR WITH: SB 0347'07Last Action: ASSIGNED PA 0135'07 WITH IMMEDIATE EFFECT
SB 0017 of 2007,Senate Bill,Local government; other; regional transportation authority in Detroit region; establish. Creates new act & repeals 1967 PA 204 (MCL 124.401 - 124.426).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0018 of 2007,Senate Bill,Transportation; carriers; exemption for new Detroit area regional transportation authority; amend. Amends sec. 4 of 1982 PA 432 (MCL 474.104).  TIE BAR WITH: SB 0017'07Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0019 of 2007,Senate Bill,"Transportation; funds; continued funding for certain authorities; provide for. Amends secs. 10c, 10h, 10l & 10n of 1951 PA 51 (MCL 247.660c et seq.).  TIE BAR WITH: SB 0017'07Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
SB 0020 of 2007,Senate Bill,Liquor; licenses; issuance of special purpose liquor license to certain cultural and artistic events; provide for. Amends sec. 531 of 1998 PA 58 (MCL 436.1531).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND REGULATORY REFORM
SB 0021 of 2007,Senate Bill,Single business tax; credit; work opportunity tax credit; create. Amends 1975 PA 228 (MCL 208.1 - 208.145) by adding sec. 36f.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0022 of 2007,Senate Bill,Insurance; essential; rate rollback; require. Amends sec. 2105 of 1956 PA 218 (MCL 500.2105) & adds sec. 2111f.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT AND REGULATORY REFORM
SB 0023 of 2007,Senate Bill,Income tax; credit; certain physicians with medical care practices in medically underserved areas; provide credit. Amends 1967 PA 281 (MCL 206.1 - 206.532) by adding sec. 273.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0024 of 2007,Senate Bill,Retirement; other; MI-retirement plan; create. Creates new act.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
