Document,Type,Description
HJR A of 2007,House Joint Resolution,Natural resources; hunting; hunting and fishing as a constitutional right; establish. Adds sec. 27 to art. I of the state constitution.Last Action: printed joint resolution filed 01/23/2007
SJR A of 2007,Senate Joint Resolution,"Legislature; apportionment; process for redistricting plan; modify. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
SJR B of 2007,Senate Joint Resolution,"Legislature; legislators; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
HJR B of 2007,House Joint Resolution,"Property tax; assessments; taxable value of homestead when sold; phase increase in over 3-year period. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 01/23/2007"
HJR C of 2007,House Joint Resolution,"Legislature; legislators; number of representatives and senators; reduce and increase term limits. Amends secs. 2, 3 & 54, art. IV of the state constitution.Last Action: printed joint resolution filed 01/23/2007"
SJR C of 2007,Senate Joint Resolution,"Constitutional amendments; state; equal amount of per pupil funding for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SJR D of 2007,Senate Joint Resolution,"Public employees and officers; constitutional amendment creating the independent redistricting commission; provide for. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
HJR D of 2007,House Joint Resolution,"Property tax; assessments; agricultural property assessment based on agricultural use value; amend constitution to provide for. Amends sec. 3, art. IX of the state constitution.Last Action: printed joint resolution filed 01/23/2007"
HJR E of 2007,House Joint Resolution,"Constitutional amendments; state; equal amount of per pupil funding for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: printed joint resolution filed 02/21/2007"
SJR E of 2007,Senate Joint Resolution,"State financing and management; budget; constitutional amendment to limit the budget and make certain deposits; modify. Amends sec. 31, art. IV & sec. 18, art. V of the state constitution.Last Action: RECONSIDER VOTE POSTPONED"
SJR F of 2007,Senate Joint Resolution,"Legislature; legislators; legislator called for active military duty; constitutional amendment to establish temporary replacement. Amends sec. 8, art. IV of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS AND REFORM"
HJR F of 2007,House Joint Resolution,"Criminal procedure; sentencing; capital punishment for first degree murder; provide for. Amends sec. 46, art. IV of the state constitution.Last Action: printed joint resolution filed 03/15/2007"
HJR G of 2007,House Joint Resolution,Courts; circuit court; election of a chief circuit judge in certain judicial circuits; amend constitution to provide for. Adds sec. 12a to  art. VI of the state constitution.Last Action: printed joint resolution filed 03/21/2007
SJR G of 2007,Senate Joint Resolution,"Higher education; state universities; classifying certain active duty military and their dependents residents for determining tuition; require. Amends secs. 5 & 6, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON SENIOR CITIZENS AND VETERANS AFFAIRS"
