Document,Type,Description
SR 0001 of 2015,Senate Resolution,A resolution notifying the Governor and the House of Representatives that the Senate is ready to proceed with the business of the session.Last Action: ADOPTED
HR 0001 of 2015,House Resolution,A resolution prescribing the Standing Rules of the House of Representatives.Last Action: adopted
HR 0002 of 2015,House Resolution,A resolution to provide for officers of the House of Representatives for the Ninety-eighth Legislature.Last Action:  Roll Call # 2 Yeas 109 Nays 0
SR 0002 of 2015,Senate Resolution,A resolution for the adoption of the Standing Rules of the Senate.Last Action: ADOPTED
SR 0003 of 2015,Senate Resolution,"A resolution of tribute offered as a memorial for Harry A. DeMaso, former member of the Senate.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
HR 0003 of 2015,House Resolution,A resolution to provide for the Clerk of the House of Representatives for the Ninety-eighth Legislature.Last Action:  Roll Call # 3 Yeas 109 Nays 0
HR 0004 of 2015,House Resolution,A resolution fixing the hour for daily sessions.Last Action: adopted
SR 0004 of 2015,Senate Resolution,A resolution to amend the Standing Rules of the Senate.Last Action: ADOPTED
SR 0005 of 2015,Senate Resolution,"A resolution to declare January 25-31, 2015, as Catholic Schools Week in the state of Michigan.Last Action: ADOPTED"
HR 0005 of 2015,House Resolution,A resolution directing the Clerk to notify the Governor that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
HR 0006 of 2015,House Resolution,A resolution directing the Clerk to notify the Senate that the House of Representatives has assembled and is ready to proceed with the business of the session.Last Action: adopted
SR 0006 of 2015,Senate Resolution,"A resolution recognizing January 25 - January 31, 2015, as Michigan School Choice Week.Last Action: ADOPTED"
SR 0007 of 2015,Senate Resolution,"A resolution to support scientifically-based state management of gray wolves and to call for legislative action by the U.S. Congress and an appeal by the U.S. Fish and Wildlife Service and the Michigan Department of Natural Resources in an effort to remove the Western Great Lakes gray wolf population from the endangered and threatened species list.Last Action: ADOPTED"
HR 0007 of 2015,House Resolution,"A resolution to declare January 25-31, 2015, as Catholic Schools Week in the state of Michigan.Last Action: adopted"
HR 0008 of 2015,House Resolution,"A resolution to declare February 14, 2015, as Go Curling Day in the state of Michigan.Last Action: adopted"
SR 0008 of 2015,Senate Resolution,"A resolution proclaiming February 2015 as American Heart Month and February 6, 2015, as Go Red for Women Day in the state of Michigan.Last Action: ENTIRE MEMBERSHIP OF THE SENATE AND LIEUTENANT GOVERNOR NAMED CO-SPONSORS"
SR 0009 of 2015,Senate Resolution,"A resolution to support the Marquette County Road Commission’s appeal of the U.S. Environmental Protection Agency’s objection to the planned construction of County Road 595.Last Action: ADOPTED"
HR 0009 of 2015,House Resolution,"A resolution to urge the President of the United States to allow an additional 25,000 refugee visas for displaced Iraqis, with preference for placement in Michigan.Last Action: adopted"
HR 0010 of 2015,House Resolution,"A resolution of tribute offered as a memorial for the Reverend Michael C. Murphy, former member of the House of Representatives.Last Action: adopted by unanimous standing vote"
SR 0010 of 2015,Senate Resolution,"A resolution recognizing February 4, 2015, as Cancer Prevention Day.Last Action: ADOPTED"
SR 0011 of 2015,Senate Resolution,"A resolution to commemorate February 14, 2015, as Go Curling Day in the state of Michigan.Last Action: ADOPTED"
HR 0011 of 2015,House Resolution,"A resolution to declare February 2015 as Heart Month and February 6, 2015, as Go Red for Women Day in the state of Michigan.Last Action: adopted"
HR 0012 of 2015,House Resolution,"A resolution to declare February 8-14, 2015, as Boy Scout Week in the state of Michigan.Last Action: adopted"
SR 0012 of 2015,Senate Resolution,"A resolution to support the recommendations of the Chicago Area Waterway System Advisory Committee to prevent Asian carp from entering the Great Lakes.Last Action: ADOPTED AS SUBSTITUTED S-3"
SR 0013 of 2015,Senate Resolution,"A resolution designating February 15-21, 2015, as Michigan Court Reporting and Captioning Week.Last Action: ADOPTED"
HR 0013 of 2015,House Resolution,"A resolution to support the Marquette County Road Commission’s appeal of the U.S. Environmental Protection Agency’s objection to the planned construction of County Road 595.Last Action: adopted"
HR 0014 of 2015,House Resolution,"A resolution to urge all Michigan executive departments to provide paper options for submitting forms and documents.Last Action: referred to Committee on Government Operations"
SR 0014 of 2015,Senate Resolution,A resolution commemorating May 2015 as Motorcycle Safety Awareness Month in the state of Michigan.Last Action: ADOPTED
SR 0015 of 2015,Senate Resolution,"A resolution to declare February 19, 2015, as Conductive Education Day in the state of Michigan.Last Action: ADOPTED"
HR 0015 of 2015,House Resolution,"A resolution to encourage the U.S. Congress to reauthorize the Older Americans Act.Last Action: referred to Committee on Families, Children, and Seniors"
HR 0016 of 2015,House Resolution,"A resolution to urge the House of Representatives to recognize the Michigan Legislative Hispanic Caucus and urge the Speaker to provide it with the same rights, privileges, and responsibilities having been afforded the other recognized caucuses of the Michigan House of Representatives.Last Action: referred to Committee on Government Operations"
SR 0016 of 2015,Senate Resolution,"A resolution to memorialize the President of the United States, the U.S. Congress, and the U.S. Federal Communications Commission to refrain from regulating broadband Internet services as common carrier services under Title II of the Communications Act of 1934.Last Action: ADOPTED"
SR 0017 of 2015,Senate Resolution,A resolution commemorating March 2015 as Ethnic and Cultural Heritage Month in the state of Michigan.Last Action: ADOPTED
HR 0017 of 2015,House Resolution,"A resolution to memorialize the President of the United States, the U.S. Congress, and the U.S. Federal Communications Commission to rescind the ruling which regulates broadband Internet services as common carrier services under Title II of the Communications Act of 1934Last Action: adopted"
HR 0018 of 2015,House Resolution,"A resolution to declare February 22-28, 2015, as Family Medicine Week in the state of Michigan.Last Action: adopted"
SR 0018 of 2015,Senate Resolution,A resolution commemorating March 2015 as Reading Month in the state of Michigan.Last Action: ADOPTED
SR 0019 of 2015,Senate Resolution,A resolution to commemorate March 2015 as Women's History Month in the state of Michigan.Last Action: ADOPTED
HR 0019 of 2015,House Resolution,"A resolution to urge the Congress of the United States to normalize relations with the Cuban government and lift the current embargo and other trade barriers with the Republic of Cuba.Last Action: referred to Committee on Commerce and Trade"
HR 0020 of 2015,House Resolution,"A resolution to encourage the Michigan Department of Education to allow local school districts the option to hold fundraisers, such as bake sales, during school hours that involve food that may not meet the new federal school nutrition standards.Last Action: referred to Committee on Education"
SR 0020 of 2015,Senate Resolution,A resolution to urge the Congress of the United States to oppose the fast-tracking of the proposed Trans-Pacific Partnership free trade agreement.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SR 0021 of 2015,Senate Resolution,"A resolution to urge the United States Congress to pass a Stop Corporate Inversions Act of 2015, H.R. 415 and S. 198.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT"
HR 0021 of 2015,House Resolution,"A resolution to memorialize the Congress of the United States to reinstate funding for the Yucca Mountain Nuclear Waste Repository.Last Action: adopted"
HR 0022 of 2015,House Resolution,A resolution to declare February 2015 Self-Care Month in the state of Michigan.Last Action: adopted
SR 0022 of 2015,Senate Resolution,"A resolution to encourage the Chicago Area Waterway System Advisory Committee to fully consider all options to protect the Great Lakes from Asian carp and to move as quickly as possible to determine the best long-term solution.Last Action: ADOPTED AS SUBSTITUTED S-1"
SR 0023 of 2015,Senate Resolution,"A resolution to call on the Obama Administration and the Congress of the United States to direct the U.S. Army Corps of Engineers to fully support efforts to determine the best long-term solution for preventing Asian carp from entering the Great Lakes and to move decisively to implement a solution.Last Action: ADOPTED AS SUBSTITUTED S-1"
HR 0023 of 2015,House Resolution,"A resolution to declare February 28, 2015, as Rare Disease Day in the state of Michigan.Last Action: adopted"
HR 0024 of 2015,House Resolution,"A resolution to urge the U.S. Department of Defense Missile Defense Agency to select the Fort Custer Training Center as the location for a new ground based interceptor ballistic missile defense mission.Last Action: referred to Committee on Military and Veterans Affairs"
SR 0024 of 2015,Senate Resolution,A resolution honoring the accomplishments of women from the city of Detroit in observance of Women's History Month.Last Action: ADOPTED
SR 0025 of 2015,Senate Resolution,"A resolution to memorialize the Congress of the United States to pass legislation that authorizes the U.S. Army Corps of Engineers to implement measures at the Brandon Road lock and dam to prevent Asian carp from entering the Great Lakes.Last Action: ADOPTED"
HR 0025 of 2015,House Resolution,A resolution to declare March 2015 as Reading Month in the state of Michigan.Last Action: adopted
HR 0026 of 2015,House Resolution,"A resolution to declare March 4, 2015, as Realtors Day in the state of Michigan.Last Action: adopted"
SR 0026 of 2015,Senate Resolution,"A resolution to urge the Federal Aviation Administration to reconsider new policies that would prohibit offset loading of sea-land containers by the U.S. air cargo industry.Last Action: ADOPTED"
SR 0027 of 2015,Senate Resolution,"A resolution designating September 6, 2015, as Michigan Mining Day.Last Action: ADOPTED AS AMENDED"
HR 0027 of 2015,House Resolution,"A resolution to memorialize the Congress of the United States to halt the closure of the U.S. Postal Service's Processing and Distribution Center in Lansing, Michigan, until postal reform legislation is addressed.Last Action: referred to Committee on Government Operations"
HR 0028 of 2015,House Resolution,A resolution to declare March 2015 as Eye Donor Month in the state of Michigan.Last Action: adopted
SR 0028 of 2015,Senate Resolution,"A resolution to express support for the renewed growth of mining in Michigan.Last Action: ADOPTED AS SUBSTITUTED S-1"
