Document,Type,Description
HJR A of 2017,House Joint Resolution,"Legislature; sessions; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 01/18/2017"
SJR A of 2017,Senate Joint Resolution,"Constitutional amendments; state; permissible uses of school aid funds; revise. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
SJR B of 2017,Senate Joint Resolution,"Constitutional amendments; state; equal amount of per pupil funding for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS"
HJR B of 2017,House Joint Resolution,"Legislature; apportionment; independent citizens redistricting commission; create. Amends secs. 2, 3 & 6, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 01/31/2017"
HJR C of 2017,House Joint Resolution,"Criminal procedure; warrants; search and seizure protections; expand to include electronic communications and seizures. Amends sec. 11, art. I of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR C of 2017,Senate Joint Resolution,"Human services; services or financial assistance; illegal aliens collecting public assistance; prohibit. Amends the state constitution of 1963, by adding sec. 28, art. I.Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND HUMAN SERVICES"
SJR D of 2017,Senate Joint Resolution,"Constitutional amendments; state; operation of public school on for-profit basis; prohibit in state constitution. Amends sec. 2, art VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR D of 2017,House Joint Resolution,"Constitutional amendments; state; equal amount of per pupil funding for all local school districts; ensure by certain date. Amends sec. 11, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 02/02/2017"
HJR E of 2017,House Joint Resolution,"Constitutional amendments; state; permissible uses of school aid funds; revise. Amends sec. 11, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 02/02/2017"
SJR E of 2017,Senate Joint Resolution,"Labor; civil service employment; classified positions; increase number that may be exempt. Amends sec. 5, art. XI of the state constitution.Last Action: REFERRED TO COMMITTEE ON COMMERCE"
SJR F of 2017,Senate Joint Resolution,"Courts; judges; election of or appointment to a judicial office of person who has reached 70 years of age; remove prohibition. Amends sec. 19, art. VI of the state constitution.Last Action: REFERRED TO COMMITTEE OF THE WHOLE"
HJR F of 2017,House Joint Resolution,"Legislature; rules; time allowed when voting on bills in the house of representatives; limit. Amends sec. 26, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 02/08/2017"
HJR G of 2017,House Joint Resolution,"Courts; judges; age limit for election of or appointment to a judicial office; eliminate. Amends sec. 19, art. VI of the state constitution.Last Action: referred to second reading"
SJR G of 2017,Senate Joint Resolution,"Natural resources; hunting; right to hunt, fish, and harvest wildlife; recognize in constitution. Amends the state constitution by adding sec. 28 to art. I.Last Action: REFERRED TO COMMITTEE ON OUTDOOR RECREATION AND TOURISM"
SJR H of 2017,Senate Joint Resolution,Constitutional amendments; state; provision regarding filling a vacancy in the office of lieutenant governor; provide for. Amends the state constitution by adding sec. 21a to art. V.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
HJR H of 2017,House Joint Resolution,"Civil rights; other; right to education and literacy; provide for. Amends sec. 2, art. VIII of the state constitution.Last Action: joint resolution electronically reproduced 03/02/2017"
HJR I of 2017,House Joint Resolution,"Legislature; sessions; sine die; establish as the Friday before the first Monday in November in an even numbered year. Amends sec. 13, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 03/14/2017"
SJR I of 2017,Senate Joint Resolution,"Individual income tax; rate; graduated income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: REFERRED TO COMMITTEE ON FINANCE"
SJR J of 2017,Senate Joint Resolution,"Legislature; legislators; change in salary for elected officials; establish effective date to be after the next election. Amends sec. 12, art. IV, sec. 23, art. V, sec. 18, art. VI & sec. 9, art. VII & adds sec. 9 to art. III of the state constituion.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
HJR J of 2017,House Joint Resolution,"Legislature; other; record roll call vote for immediate effect; require. Amends sec. 27, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 03/21/2017"
HJR K of 2017,House Joint Resolution,"Individual income tax; rate; graduated income tax; provide for. Amends sec. 7, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 03/30/2017"
SJR K of 2017,Senate Joint Resolution,"State agencies (existing); executive office; age requirement for governor and lieutenant governor; remove. Amends sec. 22, art. V of the state constitution.Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND GOVERNMENT REFORM"
SJR L of 2017,Senate Joint Resolution,"Elections; primary; voting age at primary election; revise to 17 under certain circumstances. Amends sec. 1, art. II of the state constitution.Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND GOVERNMENT REFORM"
HJR L of 2017,House Joint Resolution,"Constitutional amendments; state; limited support for students with special needs to attend nonpublic schools; allow. Amends sec. 2, art. VIII of the state constitution.Last Action: joint resolution electronically reproduced 04/19/2017"
HJR M of 2017,House Joint Resolution,"Constitutional amendments; state; state board of education, superintendent of public instruction, and state board for public community and junior colleges; eliminate, and provide for a governor-appointed department director. Amends secs. 3 & 7, art. VIII of the state constitution.Last Action: referred to second reading"
SJR M of 2017,Senate Joint Resolution,"Legislature; other; power of the legislature to disapprove rules and requirements for budget and appropriation bills submitted by the governor; provide for. Amends sec. 37, art. IV & secs. 18 & 19, art. V & adds sec. 2a to art. V of the state constitution.Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS"
SJR N of 2017,Senate Joint Resolution,"Elections; primary; nomination process for lieutenant governor, secretary of state, attorney general, state board of education, university boards, and justices of the supreme court; modify. Amends sec. 21, art. V, sec. 2, art. VI & secs. 3 & 5, art. VIII of the state constitution.Last Action: REFERRED TO COMMITTEE ON ELECTIONS AND GOVERNMENT REFORM"
HJR N of 2017,House Joint Resolution,"Legislature; legislators; number of members in the house of representatives; revise. Amends sec. 3, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 04/19/2017"
HJR O of 2017,House Joint Resolution,"Elections; voters; bill of rights for voters; establish. Amends sec. 4, art. II & adds sec. 1 to art. II of the state constitution.Last Action: joint resolution electronically reproduced 05/03/2017"
HJR P of 2017,House Joint Resolution,"Civil rights; speech and assembly; authority of legislature to provide by law for the protection of free speech at public institutions of higher education; provide for. Amends secs. 5, 6 & 7, art. VIII & adds sec. 10 to art. VIII of the state constitution.Last Action: referred to second reading"
HJR Q of 2017,House Joint Resolution,"Legislature; sessions; part-time legislature; provide for. Amends sec. 13, art. IV of the state constitution.Last Action: joint resolution electronically reproduced 05/31/2017"
HJR R of 2017,House Joint Resolution,Legislature; sessions; unicameral nonpartisan legislature; provide for. See resolution.Last Action: joint resolution electronically reproduced 06/20/2017
HJR S of 2017,House Joint Resolution,"State financing and management; funds; appropriation bills subject to referendum; clarify. Amends sec. 9, art. II of the state constitution.Last Action: joint resolution electronically reproduced 07/12/2017"
HJR T of 2017,House Joint Resolution,"Taxation; other; taxpayers bill of rights in state constitution; establish. Amends sec. 28, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 07/12/2017"
HJR U of 2017,House Joint Resolution,"Higher education; admission; alternative admissions process for certain veterans; require. Amends secs. 5 & 6, art. VIII of the state constitution.Last Action: joint resolution electronically reproduced 08/16/2017"
HJR V of 2017,House Joint Resolution,Legislature; other; application for a convention of the states under article V of the United States Constitution; provide for. Petitions Congress to propose an amendment to the Constitution of the United States.Last Action: referred to second reading
HJR W of 2017,House Joint Resolution,"Higher education; governing boards; open meetings for university boards; require. Amends sec. 4, art. VIII of the state constitution.Last Action: joint resolution electronically reproduced 09/28/2017"
HJR X of 2017,House Joint Resolution,"Legislature; other; budget process; require legislature to present all general appropriation bills to the governor by July 1 and require forfeiture of legislators' salaries for failure to present those bills by that date. Amends sec. 31, art. IV & adds sec. 55 to art. IV of the state constitution.Last Action: joint resolution electronically reproduced 10/11/2017"
HJR Y of 2017,House Joint Resolution,"Constitutional amendments; state; sales and use tax exemptions for food and prescription drugs for the care and maintenance of a service animal; provide for. Amends sec. 8, art. IX of the state constitution.Last Action: joint resolution electronically reproduced 10/26/2017"
